time,event
5.7999975979328156e-05,start_relax1
3.0790884000016376,start_trial1
3.9098406999837607,keypress_trial1
5.946348699973896,estimatedtimeclick_trial1
7.458486699964851,start_relax2
10.757513199991081,start_trial2
12.387027799966745,keypress_trial2
14.426223299989942,estimatedtimeclick_trial2
15.937596199975815,start_relax3
19.887187500018626,start_trial3
22.047203599999193,keypress_trial3
24.56343999999808,estimatedtimeclick_trial3
26.08016100001987,start_relax4
29.400886100018397,start_trial4
30.225735899992287,keypress_trial4
32.50920329999644,estimatedtimeclick_trial4
34.02624909998849,start_relax5
39.134950799983926,start_trial5
42.45127019996289,keypress_trial5
44.81711689999793,estimatedtimeclick_trial5
46.33365350001259,start_relax6
51.673273299995344,start_trial6
