0.0005,-8388608
0.0074,-8388608
0.0234,-1642693
0.0404,8388607
0.0570,8388607
0.0736,-8388608
0.0908,-8388608
0.1071,-2058958
0.1237,8388607
0.1402,8388607
0.1573,-8388608
0.1735,-8388608
0.1906,-2418567
0.2070,8388607
0.2234,8388607
0.2401,-8388608
0.2568,-8388608
0.2737,-2736804
0.2908,8388607
0.3075,8388607
0.3240,-8388608
0.3398,-8388608
0.3586,-3041357
0.3729,8388607
0.3901,8388607
0.4065,-8388608
0.4236,-8388608
0.4399,-3346938
0.4565,8388607
0.4742,8388607
0.4910,-8388608
0.5083,-8388608
0.5230,-3681517
0.5412,8388607
0.5563,8388607
0.5742,-8388608
0.5896,-8388608
0.6078,-3936059
0.6238,8388607
0.6395,8388607
0.6565,-8388608
0.6727,-8388608
0.6899,-4242534
0.7083,8388607
0.7229,8388607
0.7394,-8221772
0.7566,-8388608
0.7732,-4529604
0.7903,8082960
0.8069,8388607
0.8235,-7248871
0.8401,-8388608
0.8570,-4791059
0.8734,7659475
0.8896,8388607
0.9068,-6300889
0.9236,-8388608
0.9401,-5080214
0.9564,7234572
0.9733,8388607
0.9902,-5168986
1.0071,-8388608
1.0230,-5317606
1.0399,6729182
1.0569,8388607
1.0736,-4165080
1.0902,-8388608
1.1417,-5559859
1.1460,6292938
1.1559,8388607
1.1725,-3113484
1.1901,-8388608
1.2057,-5805577
1.2227,5787533
1.2395,8388607
1.2568,-2020063
1.2734,-8388608
1.2907,-6034825
1.3059,5164953
1.3231,8388607
1.3394,-1024238
1.3561,-8388608
1.3728,-6250590
1.3893,4606764
1.4060,8388607
1.4228,-180528
1.4395,-8388608
1.4569,-6475016
1.4728,3990692
1.4898,8388607
1.5063,678447
1.5230,-8388608
1.5407,-6694665
1.5560,3469391
1.5725,8388607
1.5891,1576125
1.6057,-8388608
1.6220,-6922867
1.6390,3024577
1.6556,8388607
1.6724,2605207
1.6886,-8388608
1.7055,-7176246
1.7220,2512184
1.7388,8388607
1.7556,3632981
1.7726,-8388608
1.7887,-7443461
1.8060,2053326
1.8224,8388607
1.8394,4707055
1.8561,-8388608
1.8725,-7740229
1.8890,1570493
1.9059,8388607
1.9225,5765985
1.9390,-8388608
1.9593,-8010979
1.9719,1036905
1.9891,8388607
2.0063,6817485
2.0221,-8388608
2.0408,-8264384
2.0560,563146
2.0731,8388607
2.0896,7889601
2.1074,-8388608
2.1236,-8388608
2.1404,6126
2.1559,8388607
2.1731,8388607
2.1900,-8388608
2.2068,-8388608
2.2239,-551649
2.2401,8388607
2.2571,8388607
2.2737,-8388608
2.2893,-8388608
2.3062,-1091615
2.3225,8388607
2.3389,8388607
2.3558,-8388608
2.3722,-8388608
2.3889,-1571125
2.4058,8388607
2.4225,8388607
2.4390,-8388608
2.4559,-8388608
2.4721,-2016931
2.4885,8388607
2.5055,8388607
2.5218,-8388608
2.5384,-8388608
2.5551,-2380574
2.5720,8388607
2.5884,8388607
2.6049,-8388608
2.6216,-8388608
2.6387,-2727589
2.6550,8388607
2.6718,8388607
2.6886,-8388608
2.7052,-8388608
2.7216,-3070058
2.7384,8388607
2.7551,8388607
2.7714,-8388608
2.7885,-8388608
2.8049,-3398154
2.8215,8388607
2.8385,8388607
2.8550,-8388608
2.8715,-8388608
2.8881,-3747897
2.9048,8388607
2.9216,8388607
2.9384,-8388608
2.9547,-8388608
2.9718,-4018841
2.9883,8388607
3.0046,8388607
3.0213,-8388608
3.0380,-8388608
3.0547,-4340835
3.0715,8323559
3.0880,8388607
3.1046,-7657668
3.1214,-8388608
3.1384,-4648430
3.1550,7955704
3.1712,8388607
3.1881,-6683530
3.2048,-8388608
3.2213,-4917989
3.2382,7509342
3.2547,8388607
3.2716,-5598659
3.2878,-8388608
3.3046,-5195183
3.3216,7107909
3.3379,8388607
3.3546,-4584842
3.3714,-8388608
3.3878,-5439416
3.4048,6621352
3.4212,8388607
3.4379,-3445381
3.4548,-8388608
3.4713,-5683983
