real_time,real_angle,subject_number,estimated_angle,estimated_time,difference_sec
1.9544,274.83,2,60.0,0.4267,1.5277
9.788,296.44,10,300.0,2.1333,7.6547
17.0873,242.9,9,270.0,1.92,15.1673
22.6856,310.16,10,300.0,2.1333,20.5522
27.7212,298.3,10,300.0,2.1333,25.5879
31.9223,169.08,6,180.0,1.28,30.6423
37.1882,189.58,6,180.0,1.28,35.9082
41.888,130.5,4,120.0,0.8533,41.0347
45.2077,237.33,6,180.0,1.28,43.9277
49.8046,163.77,5,150.0,1.0667,48.7379
