real_time,real_angle,click_x,click_y,angle_click,estimated_time,difference_sec
2.0966,294.84,-265.0,3.0,270.65,1.9246,0.172
8.3763,97.91,273.0,2.0,89.58,8.317,0.0593
16.6375,179.64,-135.0,-226.0,210.85,16.8594,-0.2219
