real_time,real_angle,click_x,click_y,angle_click,estimated_time,difference_sec
4.278,241.6,-241.0,-113.0,244.88,1.7414,2.5367
13.1446,48.46,182.0,166.0,47.63,0.3387,12.8059
21.7274,175.41,44.0,-238.0,169.53,1.2055,20.5219
29.6615,211.14,122.0,-198.0,148.36,1.055,28.6065
33.3944,16.09,69.0,222.0,17.27,0.1228,33.2717
43.3275,332.93,-105.0,219.0,334.38,2.3778,40.9496
50.6786,286.68,-233.0,69.0,286.5,2.0373,48.6413
