real_angle,real_time,angle_click,estimated_time,difference_sec
224.38,1.5956,208.68,1.4839,-0.1117
273.44,9.6244,240.76,9.3921,-0.2324
123.41,16.2376,88.74,15.9911,-0.2465
321.56,22.7666,306.77,22.6615,-0.1051
