real_time,real_angle,click_x,click_y,angle_click,estimated_time,difference_sec
2.5388,357.02,148.0,230.0,32.76,0.233,2.3058
10.7831,76.38,254.0,68.0,75.01,0.5334,10.2497
18.2629,48.22,147.0,219.0,33.87,0.2409,18.022
27.0386,202.3,-29.0,-261.0,186.34,1.3251,25.7135
32.2687,217.79,-157.0,-211.0,216.65,1.5406,30.7281
