real_angle,real_time,angle_click,estimated_time,difference_sec
353.37,5.0729,324.92,4.8705,-0.2023
357.07,10.2192,29.8,10.4519,0.2327
7.88,15.416,323.89,15.1032,-0.3128
16.38,20.5965,45.61,20.8044,0.2079
