real_angle,real_time,angle_click,estimated_time,difference_sec
276.03,1.9629,253.65,1.8037,-0.1591
305.59,7.2931,298.65,7.2437,-0.0494
117.07,18.7525,93.1,18.582,-0.1705
202.82,24.4823,153.34,24.1304,-0.3519
244.02,29.8952,239.47,29.8629,-0.0323
169.54,39.6056,92.49,39.0577,-0.5479
