time_s,value,state
0.0062,65282,none
0.0069,66307,none
0.0086,66426,none
0.0124,66795,none
0.0166,67056,none
0.0210,67144,none
0.0247,68245,none
0.0315,68069,none
0.0333,68050,none
0.0374,68653,none
0.0411,68935,none
0.0452,70750,none
0.0466,70,none
0.0494,216,none
0.0516,70724,none
0.0540,70842,none
0.0587,72260,none
0.0616,72406,none
0.0681,72414,none
0.0708,72862,none
0.0814,73528,none
0.0846,73622,none
0.0849,74676,none
0.0874,74317,none
0.1080,74693,none
0.1081,75224,none
0.1081,75022,none
0.1098,76456,none
0.1147,76055,none
0.1189,76854,none
0.1189,77380,none
0.1197,77372,none
0.1256,78562,none
0.1294,78410,none
0.1410,79446,none
0.1436,79562,none
0.1437,79492,none
0.1441,80809,none
0.1515,80589,none
0.1529,80478,none
0.1604,81356,none
0.1605,81212,none
0.1709,82224,none
0.1763,82231,none
0.1783,82613,none
0.1784,83096,none
0.1806,83575,none
0.1807,83983,none
0.1859,83937,none
0.1915,84114,none
0.1935,84779,none
0.1983,84821,none
0.2016,85703,none
0.2066,86127,none
0.2125,85836,none
0.2193,86684,none
0.2194,86860,none
0.2271,87664,none
0.2271,86873,none
0.2315,87945,none
0.2371,88817,none
0.2411,89202,none
0.2447,89055,none
0.2459,89419,none
0.2517,89906,none
0.2634,90075,none
0.2801,89998,none
0.2910,90510,none
0.2911,91307,none
0.2912,90593,none
0.2912,92149,none
0.2915,91625,none
0.2916,92151,none
0.2917,92647,none
0.2918,92445,none
0.3107,93239,none
0.3295,93415,none
0.3726,93122,none
0.3854,93928,none
0.3956,94649,none
0.3999,95048,none
0.4029,94769,none
0.4472,95622,none
0.4526,95373,none
0.4527,96508,none
0.4528,97160,none
0.4732,96707,none
0.5041,96804,none
0.5043,97038,none
0.5297,97075,none
0.5298,98561,none
0.5298,97842,none
0.5334,97864,none
0.5335,99611,none
0.5336,99338,none
0.5354,99583,none
0.5363,100015,none
0.5364,99425,none
0.5365,100002,none
0.5711,100854,none
0.5724,101028,none
0.5833,101478,none
0.6092,101418,none
0.6204,101730,none
0.6206,102423,none
0.6384,102335,none
0.6514,102628,none
0.6515,102745,none
0.6517,103801,none
0.6635,103176,none
0.6692,103751,none
0.6700,104289,none
0.6709,103788,none
0.6710,105612,none
0.6711,105079,none
0.7115,105123,none
0.7116,106235,none
0.7134,105152,none
0.7170,106696,none
0.7171,106462,none
0.7172,106812,none
0.7383,106749,none
0.7523,106567,none
0.7524,108051,none
0.7525,107452,none
0.7741,107792,none
0.8052,108136,none
0.8491,108270,none
0.8685,109790,none
0.8719,108790,none
0.8787,108720,none
0.8861,109822,none
0.8942,109345,none
0.8943,110740,none
0.8944,110089,none
0.9011,110511,none
0.9032,110723,none
0.9111,110611,none
0.9112,111848,none
0.9115,111835,none
0.9217,111641,none
0.9416,111887,none
0.9532,111657,none
0.9626,113178,none
0.9626,112459,none
0.9682,112822,none
0.9683,113760,none
0.9684,113348,none
0.9764,114454,none
0.9767,113855,none
0.9771,113784,none
0.9862,115340,none
0.9864,114182,none
