time_s,value,state
1.3063,8388607,none
1.3128,-5548813,none
1.3226,-5544111,none
1.3360,-5523267,none
1.3461,-1655492,none
1.3511,8388607,none
1.3547,-5550149,none
1.3556,-5544278,none
1.3644,-5525359,none
1.3668,-2758217,none
1.3715,8388607,none
1.3737,-5545544,none
1.3740,-5542216,none
1.3744,-5524524,none
1.3875,-3713205,none
1.3892,8388607,none
1.3929,-5534535,none
1.3984,-5544105,none
1.3986,-5526903,none
1.4010,-4714422,none
1.4026,8388607,none
1.4087,-5509604,none
1.4163,-5545557,none
1.4198,-5530227,none
1.4272,-5439749,none
1.4287,8388607,none
1.4357,-5481148,none
1.4465,-5545067,none
1.4552,-5530582,none
1.4711,-5511330,none
1.4775,8388607,none
1.4779,-5430647,none
1.4930,-5544611,none
1.4966,-5531722,none
1.4968,-5516134,none
1.4998,8388607,none
1.5035,-5312190,none
1.5061,-5543030,none
1.5068,-5530538,none
1.5072,-5513557,none
1.5120,8388607,none
1.5167,-4987345,none
1.5188,-5542189,none
1.5230,-5530042,none
1.5241,-5513154,none
1.5245,8388607,none
1.5260,-4338053,none
1.5288,-5542690,none
1.5375,-5531020,none
1.5490,-5513493,none
1.5554,8388607,none
1.5571,-3228920,none
1.5582,-5541700,none
1.5651,-5531584,none
1.5693,-5512602,none
1.5788,8388607,none
1.5789,-3094909,none
1.5821,-5541224,none
1.5847,-5531124,none
1.5872,-5510664,none
1.5874,8388607,none
1.5969,-1627028,none
1.6038,-5539635,none
1.6078,-5531102,none
1.6084,-5510104,none
1.6115,8388607,none
1.6161,-1514294,none
1.6184,-5535597,none
1.6204,-5526314,none
1.6224,-5504485,none
1.6227,8015859,none
1.6264,274290,none
1.6265,-5533663,none
1.6280,-5524697,none
1.6324,-5502249,none
1.6333,7001007,none
1.6381,532111,none
1.6403,-5530534,none
1.6440,-5522224,none
1.6475,-5499132,none
1.6529,6412687,none
1.6575,1341133,none
1.6586,-5527447,none
1.6641,-5518978,none
1.6669,-5495878,none
1.6753,5177215,none
1.6837,3141148,none
1.6883,-5527304,none
1.7023,-5520121,none
1.7096,-5497849,none
1.7208,4566081,none
1.7283,3063960,none
1.7323,-5525624,none
1.7367,-5518040,none
1.7484,-5495236,none
1.7591,3838787,none
1.7625,3584327,none
1.7626,-5523074,none
1.7627,-5514906,none
1.7694,-5492222,none
1.7723,2724109,none
1.7723,4781386,none
1.7757,-5520788,none
1.7758,-5512389,none
1.7796,-5490750,none
1.7834,2368157,none
1.7871,5760431,none
1.7997,-5516494,none
1.8138,-5509358,none
1.8216,-5487045,none
1.8238,1510118,none
1.8295,6996412,none
1.8307,-5516245,none
1.8367,-5508693,none
1.8433,-5487666,none
1.8447,612357,none
1.8576,8105378,none
1.8577,-5517143,none
1.8663,-5510045,none
1.8826,-5489757,none
1.8896,-138784,none
1.9056,8388607,none
1.9083,-5513413,none
1.9089,-5506386,none
1.9172,-5486245,none
1.9191,-1268938,none
1.9192,8388607,none
1.9207,-5508898,none
1.9232,-5502094,none
1.9247,-5482730,none
1.9277,-2237264,none
1.9312,8388607,none
1.9339,-5503573,none
1.9374,-5499664,none
1.9390,-5481445,none
1.9408,-3399954,none
1.9419,8388607,none
1.9516,-5497673,none
1.9520,-5497821,none
1.9527,-5480402,none
1.9566,-4309607,none
1.9682,8388607,none
1.9766,-5494410,none
1.9831,-5494784,none
1.9914,-5478760,none
2.0005,-4939996,none
2.0047,8388607,none
2.0111,-5454985,none
2.0156,-5491082,none
2.0170,-5475962,none
2.0186,-5370877,none
2.0211,8388607,none
2.0212,-5455269,none
2.0214,-5486506,none
2.0225,-5472471,none
2.0276,-5453298,none
2.0291,8388607,none
2.0295,-5409061,none
2.0319,-5480974,none
2.0345,-5468050,none
2.0374,-5448714,none
2.0388,8388607,none
2.0389,-5243631,none
2.0400,-5482005,none
2.0454,-5470082,none
2.0483,-5452919,none
2.0513,8388607,none
2.0521,-5074380,none
2.0603,-5477710,none
2.0669,-5466938,none
2.0696,-5449723,none
2.0706,8388607,none
2.0744,-4542793,none
2.0768,-5475779,none
2.0784,-5465752,none
2.0794,-5447530,none
2.0798,8388607,none
2.0818,-4671774,none
2.0841,-5474546,none
2.0859,-5464985,none
2.0878,-5445208,none
2.0907,8388607,none
2.0929,-2487519,none
2.0949,-5477224,none
2.0969,-5468349,none
2.0985,-5448718,none
2.0994,8388607,none
2.1017,-1487912,none
2.1048,-5472444,none
2.1069,-5463726,none
2.1090,-5442344,none
2.1110,8354143,none
2.1126,-257595,none
2.1147,-5470977,none
2.1160,-5462331,none
2.1172,-5441111,none
2.1189,7915359,none
2.1208,-566856,none
2.1221,-5463137,none
2.1261,-5454890,none
2.1287,-5432405,none
2.1309,7162795,none
2.1321,1314850,none
2.1338,-5459114,none
2.1355,-5451547,none
2.1372,-5429013,none
2.1387,6339147,none
2.1408,2218770,none
2.1429,-5458027,none
2.1450,-5450103,none
2.1474,-5427690,none
2.1496,5059551,none
2.1514,2279192,none
2.1531,-5452426,none
2.1557,-5443924,none
2.1588,-5421038,none
2.1608,4177071,none
2.1623,2504549,none
2.1643,-5444027,none
2.1696,-5436674,none
2.1711,-5413579,none
2.1727,3353423,none
2.1729,4212471,none
2.1732,-5440124,none
2.1740,-532-491252,flicker
2.1741,00,flicker
2.1750,-478-5431233,flicker
2.1751,-5409557,flicker
2.1757,2271674,flicker
2.1760,6298816,flicker
2.1763,-5435911,flicker
2.1764,-5429191,flicker
2.1765,-5406742,flicker
2.1768,1445971,flicker
2.1768,7302103,flicker
2.1774,-5434379,flicker
2.1778,-5428006,flicker
2.1783,-5405816,flicker
2.1788,490277,flicker
2.1791,7713211,flicker
2.1802,-5431044,flicker
2.1806,-5423597,flicker
2.1809,-5402766,flicker
2.1811,-286072,flicker
2.1814,8388607,flicker
2.1818,-5425079,flicker
2.1822,-5418027,flicker
2.1824,-5398776,flicker
2.1833,-1431000,flicker
2.1834,8388607,flicker
2.1842,-5419564,flicker
2.1843,-5413406,flicker
2.1845,-5394552,flicker
2.1847,-2281910,flicker
2.1849,8388607,flicker
2.1852,-5413750,flicker
2.1858,-5410417,flicker
2.1860,-5392010,flicker
2.1862,-3089452,flicker
2.1873,8388607,flicker
2.1875,-5407993,flicker
2.1879,-5406192,flicker
2.1881,-5388986,flicker
2.1884,-4189684,flicker
2.1890,8388607,flicker
2.1899,-5393298,flicker
2.1901,-5404917,flicker
2.1905,-5388209,flicker
2.1908,-4777421,flicker
2.1920,8388607,flicker
2.1924,-5374471,flicker
2.1926,-5401503,flicker
2.1928,-5386904,flicker
2.1929,-5345255,flicker
2.1930,8388607,flicker
2.1932,-5362686,flicker
2.1933,-5397525,flicker
2.1933,-5384038,flicker
2.1934,-5369957,flicker
2.1935,8388607,flicker
2.1938,-5287513,flicker
2.1979,-5394863,flicker
2.2020,-5382892,flicker
2.2061,-5361657,flicker
2.2108,8388607,flicker
2.2143,-5222838,flicker
2.2183,-5393434,flicker
2.2225,-5380824,flicker
2.2270,-5364906,flicker
2.2307,8388607,flicker
2.2348,-4636366,flicker
2.2364,-,flicker
2.2388,5391131,flicker
2.2403,-,flicker
2.2436,5380072,flicker
2.2448,-5,flicker
2.2471,363653,flicker
2.2486,8388,flicker
2.2512,607,flicker
2.2523,-4432064,flicker
2.2552,-5388165,flicker
2.2597,-5376977,flicker
2.2634,-5358920,flicker
2.2675,8388607,flicker
2.2716,-3076098,flicker
2.2758,5386016,flicker
2.2800,-5376161,flicker
2.2839,-5356821,flicker
2.2880,8388607,flicker
2.2936,3,flicker
2.2967,-5382805,flicker
2.3003,-5373832,flicker
2.3044,-5353948,flicker
2.3086,388607,flicker
2.3128,-2110158,flicker
2.3167,-5378238,flicker
2.3207,-5369508,flicker
2.3266,-49013,flicker
2.3289,8388607,flicker
2.3330,-470069,flicker
2.3371,-5383177,flicker
2.3414,-5374988,flicker
2.3453,-5353881,flicker
2.3494,7788897,flicker
2.3536,615910,flicker
2.3577,-5380489,flicker
2.3618,-5372009,flicker
2.3627,-,flicker
2.3659,5349756,flicker
2.3700,8104107,flicker
2.3713,10,flicker
2.3741,8501,flicker
2.3755,-5382,flicker
2.3781,204,flicker
2.3794,-537379,flicker
2.3822,4,flicker
2.3823,-5351342,flicker
2.3863,5912615,flicker
2.3906,2603833,flicker
2.3949,-5381505,flicker
2.3986,-5373814,flicker
2.4027,-5351303,flicker
2.4069,4848410,flicker
2.4110,3008952,flicker
2.4151,-5380468,flicker
2.4192,-5372729,flicker
2.4232,-5350163,flicker
2.4274,4294735,flicker
2.4314,3317096,flicker
2.4354,-5379121,flicker
