time_s,value,state
0.0042,3009987,none
0.0049,-512797,none
0.0076,326920,none
0.0119,-669297,none
0.0160,-528304,none
0.0199,2873423,none
0.0266,-327201,none
0.0283,277569,none
0.0326,-654808,none
0.0364,-602627,none
0.0405,2737417,none
0.0446,-165191,none
0.0500,212231,none
0.0512,-,none
0.0530,672182,none
0.0550,-738,none
0.0568,071,none
0.0580,26093,none
0.0608,03,none
0.0611,95903,none
0.0654,126788,none
0.0693,-543698,none
0.0814,-862199,none
0.0843,2446153,none
0.0886,265654,none
0.0961,35767,none
0.1000,-488493,none
0.1073,-1048730,none
0.1118,2296161,none
0.1122,417441,none
0.1123,-50780,none
0.1126,-479124,none
0.1145,-1048337,none
0.1195,2128428,none
0.1227,559123,none
0.1333,-163289,none
0.1337,-471900,none
0.1541,-1007816,none
0.1626,1934823,none
0.1682,740592,none
0.1691,-256839,none
0.1695,-383001,none
0.1702,-1015118,none
0.1707,1760790,none
0.1714,925865,none
0.1719,-354253,none
0.1725,-394163,none
0.1741,-,none
0.1759,991037,none
0.1807,1533429,none
0.1823,11,none
0.1879,04493,none
0.1956,-444159,none
0.2005,-207690,none
0.2048,-1145808,none
0.2052,1360774,none
0.2056,1327133,none
0.2083,-516448,none
0.2121,-222447,none
0.2131,-1153321,none
0.2286,1157306,none
0.2296,1565088,none
0.2340,-567549,none
0.2366,-144107,none
0.2404,-1204971,none
0.2450,957105,none
0.2514,1743079,none
0.2537,-585281,none
0.2578,-111249,none
0.2655,-1306855,none
0.2708,917482,none
0.2727,1989950,none
0.2758,-588013,none
0.2799,-163976,none
0.2801,-1223979,none
0.2809,786323,none
0.2838,2213324,none
0.2867,-580842,none
0.2915,-82217,none
0.2966,-1315420,none
0.2987,640963,none
0.3100,2492397,none
0.3123,-574867,none
0.3163,48098,none
0.3228,-1322210,none
0.3281,519139,none
0.3288,2820467,none
0.3289,-574279,none
0.3292,235356,none
0.3336,-1298107,none
0.3356,587046,none
0.3398,3011962,none
0.3461,-561866,none
0.3510,259585,none
0.3550,-1172248,none
0.3600,549224,none
0.3621,3151310,none
0.3645,-581173,none
0.3690,354606,none
0.3742,-1057125,none
0.3774,359169,none
0.3811,3282941,none
0.3855,-612427,none
0.3900,356128,none
0.3946,-954683,none
0.3982,367563,none
0.4058,3426112,none
0.4099,-640882,none
0.4105,411967,none
0.4132,-829415,none
0.4217,271582,none
0.4221,3410026,none
0.4288,-696125,none
0.4304,476114,none
0.4315,-,none
0.4375,743457,none
0.4419,143168,none
0.4452,3366441,none
0.4466,-691572,none
0.4476,615457,none
0.4535,-728115,none
0.4580,-8408,none
0.4667,3208816,none
0.4726,-697735,none
0.4760,592746,none
0.4763,-725157,none
0.4784,-109792,none
0.4801,3222147,none
0.4830,-628419,none
0.4934,522305,none
0.4941,-681399,none
