time_s,value,state
0.0046,60053,none
0.0052,77735,none
0.0054,76951,none
0.0056,64754,none
0.0078,57207,none
0.0118,60993,none
0.0158,79884,none
0.0201,78277,none
0.0238,66210,none
0.0282,59304,none
0.0335,62086,none
0.0421,81471,none
0.0435,81019,none
0.0440,70096,none
0.0486,61424,none
0.0530,63229,none
0.0566,83758,none
0.0608,83780,none
0.0650,72475,none
0.0690,63982,none
0.0730,65429,none
0.0802,86226,none
0.0812,86079,none
0.0856,75913,none
0.0896,65782,none
0.0966,66231,none
0.1026,87837,none
0.1056,87761,none
0.1097,78050,none
0.1126,67965,none
0.1161,68547,none
0.1188,89264,none
0.1211,90127,none
0.1224,81154,none
0.1343,70338,none
0.1414,70312,none
0.1484,91484,none
0.1486,92027,none
0.1488,83193,none
0.1489,71398,none
0.1537,71883,none
0.1546,92549,none
0.1605,94634,none
0.1665,85995,none
0.1681,72751,none
0.1730,73992,none
0.1778,94265,none
0.1812,95641,none
0.1865,88597,none
0.1934,75687,none
0.1951,75454,none
0.1960,95679,none
0.2019,98136,none
0.2071,91116,none
0.2106,77540,none
0.2137,77258,none
0.2203,96691,none
0.2249,100111,none
0.2324,92909,none
0.2365,79444,none
0.2378,78932,none
0.2391,97267,none
0.2411,102273,none
0.2420,95132,none
0.2477,80939,none
0.2535,79542,none
0.2537,98248,none
0.2585,103315,none
0.2665,97452,none
0.2666,82562,none
0.2721,81537,none
0.2743,98853,none
0.2815,104830,none
0.2832,99275,none
0.2860,84710,none
0.2901,82733,none
0.2960,99330,none
0.2989,107246,none
0.3042,101321,none
0.3074,87043,none
0.3117,84876,none
0.3167,99496,none
0.3207,108004,none
0.3240,103140,none
0.3305,88719,none
0.3323,86543,none
0.3365,99455,none
0.3413,109623,none
0.3471,104345,none
0.3501,90859,none
0.3538,88010,none
0.3643,100372,none
0.3696,110965,none
0.3707,106746,none
0.3712,92199,none
0.3768,89658,none
0.3790,100161,none
0.3802,112266,none
0.3850,108757,none
0.3877,94260,none
0.3895,90747,none
0.3937,101337,none
0.3987,113678,none
0.4058,110329,none
0.4079,96356,none
0.4107,91986,none
0.4135,102726,none
0.4191,115191,none
0.4228,112689,none
0.4325,97840,none
0.4336,92834,none
0.4360,102240,none
0.4411,116895,none
0.4448,113570,none
0.4466,99101,none
0.4501,94439,none
0.4588,102098,none
0.4595,117900,none
0.4655,115129,none
0.4723,102045,none
0.4741,96221,none
0.4807,102421,none
0.4846,118591,none
0.4930,117049,none
0.4944,103736,none
0.4961,97033,none
0.4967,102504,none
0.5003,120623,none
0.5064,118379,none
0.5084,105693,none
0.5098,99057,none
0.5126,103233,none
0.5251,121203,none
0.5258,119896,none
0.5282,107491,none
0.5289,100024,none
0.5320,103167,none
0.5389,122302,none
0.5490,121734,none
0.5498,109436,none
0.5504,101080,none
0.5522,103509,none
0.5565,123461,none
0.5646,123431,none
0.5691,111475,none
0.5742,102739,none
0.5770,104636,none
0.5831,125070,none
0.5892,124179,none
0.5906,114111,none
0.5908,104779,none
0.5962,105142,none
0.5975,125159,none
0.6073,125612,none
0.6081,114811,none
0.6126,104999,none
0.6165,105850,none
0.6228,127092,none
0.6246,127724,none
0.6298,117678,none
0.6324,106462,none
0.6370,106206,none
0.6406,127703,none
0.6438,128443,none
0.6454,119264,none
0.6511,108214,none
0.6583,107871,none
0.6614,129079,none
0.6675,129291,none
0.6677,120123,none
0.6679,108980,none
0.6748,108902,none
0.6751,129518,none
0.6823,130420,none
0.6912,122151,none
0.6956,110336,none
0.7004,109570,none
0.7060,129818,none
0.7075,132017,none
0.7088,124146,none
0.7106,111534,none
0.7122,111152,none
0.7162,130823,none
0.7247,133397,none
0.7258,125817,none
0.7390,112792,none
0.7449,112102,none
0.7454,131371,none
0.7458,134127,none
0.7540,126728,none
0.7583,113995,none
0.7620,111922,none
0.7664,130920,none
0.7747,135115,none
0.7771,127973,none
0.7775,115342,none
0.7854,113191,none
0.7907,130864,none
0.7909,135984,none
0.7944,129221,none
0.7978,116637,none
0.7983,114219,none
0.7987,130864,none
0.7992,137480,none
0.8026,131666,none
0.8126,117344,none
0.8168,114441,none
0.8174,130895,none
0.8234,138083,none
0.8263,132467,none
0.8275,118205,none
0.8349,115846,none
0.8380,131108,none
0.8448,138841,none
0.8489,134162,none
0.8496,120077,none
0.8550,116701,none
0.8552,130267,none
0.8611,139918,none
0.8684,135020,none
0.8732,120136,none
0.8773,117492,none
0.8823,130279,none
0.8904,140970,none
0.8934,136848,none
0.8946,122104,none
0.9008,118439,none
0.9045,130210,none
0.9051,141675,none
0.9111,137636,none
0.9115,122680,none
0.9147,118749,none
0.9168,130276,none
0.9201,141885,none
0.9222,138575,none
0.9327,124395,none
0.9365,120002,none
0.9396,129953,none
0.9449,142561,none
0.9479,139734,none
0.9486,126219,none
0.9498,120970,none
0.9580,129300,none
0.9615,143810,none
0.9677,141484,none
0.9720,127508,none
0.9740,122036,none
0.9762,129138,none
0.9833,144844,none
0.9860,142710,none
0.9885,128538,none
0.9935,122620,none
1.0005,129090,none
1.0012,144812,none
1.0084,142726,none
1.0127,129624,none
1.0193,123472,none
1.0199,127695,none
1.0241,146390,none
1.0251,144181,none
1.0257,131247,none
1.0297,124353,none
1.0361,128077,none
1.0373,145809,none
1.0396,145303,none
1.0492,133077,none
1.0539,125318,none
1.0573,128040,none
1.0592,147206,none
1.0624,146552,none
1.0688,134368,none
1.0693,125621,none
1.0726,128041,none
1.0812,147416,none
1.0879,146321,none
1.0917,135784,none
1.0937,126417,none
1.1062,127800,none
1.1106,148098,none
1.1112,148402,none
1.1118,136832,none
1.1124,127256,none
1.1133,127802,none
1.1178,148987,none
1.1216,148573,none
1.1296,138555,none
1.1334,128200,none
1.1338,128429,none
1.1362,148812,none
1.1382,149073,none
1.1424,139342,none
1.1506,129091,none
1.1543,128433,none
1.1562,149626,none
1.1638,150084,none
1.1753,140126,none
1.1758,129251,none
1.1771,129494,none
1.1789,150031,none
1.1798,150913,none
1.1859,141712,none
1.1945,130637,none
1.1958,129399,none
1.1964,150105,none
1.2017,151470,none
1.2042,142716,none
1.2093,131682,none
1.2133,130354,none
1.2179,150669,none
1.2223,152443,none
1.2238,143941,none
1.2332,131697,none
1.2379,130795,none
1.2384,150799,none
1.2470,153273,none
1.2484,145154,none
1.2531,131578,none
1.2549,131279,none
1.2591,150734,none
1.2636,154365,none
1.2659,146807,none
1.2707,132567,none
1.2743,131696,none
1.2777,150064,none
1.2800,154722,none
1.2832,147263,none
1.2881,134395,none
1.2958,131816,none
1.2967,149810,none
1.3000,154503,none
1.3062,148108,none
1.3092,134286,none
1.3116,131973,none
1.3161,148758,none
1.3186,155368,none
1.3236,149536,none
1.3300,135320,none
1.3312,133045,none
1.3351,149050,none
1.3399,155964,none
1.3450,149992,none
1.3485,136039,none
1.3543,133034,none
1.3593,148757,none
1.3623,156331,none
1.3668,151429,none
1.3691,137118,none
1.3738,134127,none
1.3777,148514,none
1.3828,156969,none
1.3854,151667,none
1.3869,137,none
1.3888,167,none
1.3951,134845,none
1.3966,147487,none
1.3999,157336,none
1.4022,153058,none
1.4061,138216,none
1.4139,134638,none
1.4193,146950,none
1.4195,157925,none
1.4239,153912,none
1.4244,139160,none
1.4321,135118,none
1.4360,145747,none
1.4394,158422,none
1.4417,154780,none
1.4451,139935,none
1.4492,135540,none
1.4536,145423,none
1.4581,158628,none
1.4639,155568,none
1.4709,141270,none
1.4746,135817,none
1.4783,145426,none
1.4837,159054,none
1.4856,156279,none
1.4907,141722,none
1.4927,137378,none
1.4946,144811,none
1.4986,159068,none
1.5087,157336,none
1.5128,142285,none
1.5172,137521,none
1.5206,143885,none
1.5228,160301,none
1.5240,157569,none
1.5284,143524,none
1.5299,137260,none
1.5313,143554,none
1.5354,159534,none
1.5398,158762,none
1.5497,144304,none
1.5514,138004,none
1.5573,142742,none
1.5589,161134,none
1.5676,159325,none
1.5720,146217,none
1.5732,138751,none
1.5778,142304,none
1.5848,161202,none
1.5856,160049,none
1.5917,146634,none
1.5981,138784,none
1.6007,142006,none
1.6018,160726,none
1.6085,160245,none
1.6093,147418,none
1.6101,139934,none
1.6208,140764,none
1.6249,160578,none
1.6267,160975,none
1.6282,149058,none
1.6312,140529,none
1.6404,140850,none
1.6405,161217,none
1.6447,161049,none
1.6473,149934,none
1.6500,141128,none
1.6538,140630,none
1.6603,161654,none
1.6653,161606,none
1.6680,151315,none
1.6717,141000,none
1.6725,140922,none
1.6764,161692,none
1.6798,162239,none
1.6835,151652,none
1.6872,141614,none
1.6923,141494,none
1.6969,162657,none
1.7046,163178,none
1.7062,153019,none
1.7086,141352,none
1.7182,141919,none
1.7192,162075,none
1.7213,163079,none
1.7247,154562,none
1.7293,142733,none
1.7364,142032,none
1.7384,162385,none
1.7419,163625,none
1.7443,154578,none
1.7504,142384,none
1.7543,142693,none
1.7571,161617,none
1.7616,164520,none
1.7726,156056,none
1.7746,143461,none
1.7759,142762,none
1.7766,162414,none
1.7773,165306,none
1.7821,156654,none
1.7908,143672,none
1.7980,143109,none
1.8036,161492,none
1.8085,165052,none
1.8119,157608,none
1.8165,144025,none
1.8178,143018,none
1.8230,160860,none
1.8235,166069,none
1.8250,158633,none
1.8296,145459,none
1.8318,143155,none
1.8408,160701,none
1.8409,166399,none
1.8451,159395,none
1.8497,145822,none
1.8517,143521,none
1.8548,159836,none
1.8635,160434,flicker
1.8688,146052,flicker
1.8714,143428,flicker
1.8754,159399,flicker
1.8791,166425,flicker
1.8835,160798,flicker
1.8876,147118,flicker
1.8919,143593,flicker
1.8934,1,flicker
1.8954,58353,flicker
1.8970,1661,flicker
1.8999,47,flicker
1.9015,162339,flicker
1.9037,147745,flicker
1.9077,143942,flicker
1.9119,576,flicker
1.9169,167044,flicker
1.9200,161712,flicker
1.9241,147350,flicker
1.9284,445,flicker
1.9337,156626,flicker
1.9363,166511,flicker
1.9407,162912,flicker
1.9447,4808,flicker
1.9495,144959,flicker
1.9528,155387,flicker
1.9568,167347,flicker
1.9628,39,flicker
1.9653,148963,flicker
1.9691,144811,flicker
1.9732,154907,flicker
1.9791,167741,flicker
1.9814,164418,flicker
1.9855,149497,flicker
1.9897,145256,flicker
1.9937,154673,flicker
1.9989,168222,flicker
2.0020,164742,flicker
2.0060,150309,flicker
2.0102,145591,flicker
2.0142,153730,flicker
2.0183,168056,flicker
2.0197,1,flicker
2.0224,65729,flicker
2.0235,1514,flicker
2.0302,40145812,flicker
2.0306,152559,flicker
2.0347,168661,flicker
2.0387,166069,flicker
2.0433,152091,flicker
2.0475,145469,flicker
2.0511,153353,flicker
2.0551,168086,flicker
2.0603,167038,flicker
2.0646,152719,flicker
2.0675,146181,flicker
2.0716,150785,flicker
2.0759,168825,flicker
2.0805,166880,flicker
2.0838,153836,flicker
2.0880,145967,flicker
2.0921,150722,flicker
2.0969,169223,flicker
2.1002,167134,flicker
2.1044,154405,flicker
2.1085,147250,flicker
2.1131,150127,flicker
2.1166,168859,flicker
2.1207,168271,flicker
2.1248,155890,flicker
2.1292,4177,flicker
2.1335,149097,flicker
2.1370,168614,flicker
2.1411,168171,flicker
2.1468,56,flicker
2.1499,147999,flicker
2.1514,148,flicker
2.1535,883,flicker
2.1551,169298,flicker
2.1576,169128,flicker
2.1618,157620,flicker
2.1665,148803,flicker
2.1699,148232,flicker
2.1740,169470,flicker
2.1786,691,flicker
2.1834,158154,flicker
2.1862,149017,flicker
2.1903,149004,flicker
2.1951,188,flicker
2.1994,170277,flicker
2.2026,159736,flicker
2.2066,149094,flicker
2.2124,49,flicker
2.2151,169149,flicker
2.2203,170217,flicker
2.2234,160413,flicker
2.2290,14999,flicker
2.2344,148623,flicker
2.2358,169546,flicker
2.2394,171023,flicker
2.2436,161947,flicker
2.2484,149649,flicker
2.2517,149054,flicker
2.2558,169721,flicker
2.2600,170830,flicker
2.2653,162847,flicker
2.2681,150193,flicker
2.2722,149780,flicker
2.2765,169472,flicker
2.2785,171,flicker
2.2805,961,flicker
2.2822,162891,flicker
2.2846,150312,flicker
2.2886,149191,flicker
2.2928,168564,flicker
2.2982,171321,flicker
2.3009,163619,flicker
2.3049,150228,flicker
2.3095,149429,flicker
2.3138,168487,flicker
2.3173,172119,flicker
2.3213,164289,flicker
2.3257,150586,flicker
2.3311,149608,flicker
2.3337,166728,flicker
2.3378,173114,flicker
2.3419,165433,flicker
2.3479,151161,flicker
2.3506,149656,flicker
2.3541,166640,flicker
2.3583,172030,flicker
2.3638,6600,flicker
2.3677,151788,flicker
2.3725,149601,flicker
2.3762,165811,flicker
2.3789,172203,flicker
2.3838,166744,flicker
2.3869,152225,flicker
2.3910,150507,flicker
2.3953,64308,flicker
2.3995,173165,flicker
2.4045,166875,flicker
2.4061,15,flicker
2.4075,3479,flicker
2.4091,14900,flicker
2.4132,140,flicker
2.4161,172917,flicker
2.4204,168516,flicker
2.4239,153608,flicker
2.4282,507,flicker
2.4335,162998,flicker
2.4364,173169,flicker
2.4402,168304,flicker
2.4462,357,flicker
2.4515,150562,flicker
2.4538,162691,flicker
2.4565,172355,flicker
2.4607,168311,flicker
2.4654,154525,flicker
2.4688,149702,flicker
2.4729,161960,flicker
2.4771,173170,flicker
2.4818,169614,flicker
2.4852,155142,flicker
2.4893,151252,flicker
2.4934,160519,flicker
2.4980,173477,flicker
