trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,imagen1,imagen2,hm1,cp1,ai1,pa1,vr1,cl1,hm2,cp2,ai2,pa2,vr2,cl2,thisRow.t,notes,Instruccions.started,text_8.started,key_resp_3.started,Instruccions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instructions_2.started,image_3.started,image_4.started,key_resp_4.started,text_9.started,text_10.started,instructions_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,image.started,image_2.started,key_resp.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.004743500001495704,0.016796900003100745,0.016796900003100745,10.396221900002274,space,10.375283599998511,None,,,,,,,,,,,,,,,938851,001,2024-07-11_11h23.24.403,untitled,2023.2.3,60.18270264916198,2024-07-11 11h23.29.397111 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,10.396246000003885,10.41653899999801,10.41653899999801,10.41653899999801,10.41653899999801,10.41653899999801,24.059007000003476,left,13.638600500002212,None,,,,,938851,001,2024-07-11_11h23.24.403,untitled,2023.2.3,60.18270264916198,2024-07-11 11h23.29.397111 +0200,
,,,,,,,,,,,,,,,,,,24.20807590000186,,,,,,,,,,,,,,,,,,,24.064241300002323,24.20807590000186,24.20807590000186,24.20807590000186,,,,,,,,
