imagen1,imagen2,hm1,cp1,ai1,pa1,vr1,cl1,hm2,cp2,ai2,pa2,vr2,cl2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,image.started,image_2.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,results.started,text.started,text_2.started,text_3.started,text_4.started,text_5.started,text_6.started,text_7.started,key_resp_2.started,results.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\9.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\10.png,0,-1,1,0,1,0,0,1,-1,0,-1,0,0,0,0,3,0.16069590009283274,,0.009247700101695955,0.16069590009283274,0.16069590009283274,0.16069590009283274,1.910422700108029,left,1.7373386999825016,None,,,,,,,,,,,,,,826154,001,2024-07-10_20h16.23.009,untitled,2023.2.3,59.669787369136465,2024-07-10 20h16.27.414710 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\5.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\6.png,0,1,1,0,-1,0,0,-1,-1,0,1,0,0,1,1,1,2.046327000018209,,1.9108672000002116,2.046327000018209,2.046327000018209,2.046327000018209,2.9438272000988945,left,0.8913107999833301,None,,,,,,,,,,,,,,826154,001,2024-07-10_20h16.23.009,untitled,2023.2.3,59.669787369136465,2024-07-10 20h16.27.414710 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\17.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\18.png,-1,-1,1,0,1,0,1,1,-1,0,-1,0,0,2,2,7,3.079802200081758,,2.9441506000002846,3.079802200081758,3.079802200081758,3.079802200081758,3.529516400070861,left,0.43448649998754263,None,,,,,,,,,,,,,,826154,001,2024-07-10_20h16.23.009,untitled,2023.2.3,59.669787369136465,2024-07-10 20h16.27.414710 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\13.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\14.png,0,1,1,0,-1,0,0,-1,-1,0,1,0,0,3,3,5,3.6648223000811413,,3.530052400077693,3.6648223000811413,3.6648223000811413,3.6648223000811413,4.045233700075187,left,0.3786322999512777,None,,,,,,,,,,,,,,826154,001,2024-07-10_20h16.23.009,untitled,2023.2.3,59.669787369136465,2024-07-10 20h16.27.414710 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\7.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\8.png,0,1,1,0,1,0,0,-1,-1,0,-1,0,0,4,4,2,4.19359160005115,,4.0456082000164315,4.19359160005115,4.19359160005115,4.19359160005115,4.51141900010407,left,0.30589039996266365,None,,,,,,,,,,,,,,826154,001,2024-07-10_20h16.23.009,untitled,2023.2.3,59.669787369136465,2024-07-10 20h16.27.414710 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\3.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\4.png,0,-1,1,0,-1,0,0,1,-1,0,1,0,0,5,5,0,4.650706300046295,,4.511773600010201,4.650706300046295,4.650706300046295,4.650706300046295,4.962928700027987,left,0.3107791000511497,None,,,,,,,,,,,,,,826154,001,2024-07-10_20h16.23.009,untitled,2023.2.3,59.669787369136465,2024-07-10 20h16.27.414710 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\15.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\16.png,0,1,1,0,1,0,0,-1,-1,0,-1,0,0,6,6,6,5.096823600004427,,4.96336140006315,5.096823600004427,5.096823600004427,5.096823600004427,5.447610400035046,left,0.34658869996201247,None,,,,,,,,,,,,,,826154,001,2024-07-10_20h16.23.009,untitled,2023.2.3,59.669787369136465,2024-07-10 20h16.27.414710 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\11.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\12.png,0,-1,1,0,-1,0,0,1,-1,0,1,0,0,7,7,4,5.583374400041066,,5.4481165000470355,5.583374400041066,5.583374400041066,5.583374400041066,5.897380200098269,left,0.30668560008052737,None,,,,,,,,,,,,,,826154,001,2024-07-10_20h16.23.009,untitled,2023.2.3,59.669787369136465,2024-07-10 20h16.27.414710 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\19.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\20.png,-1,-1,1,0,-1,0,1,1,-1,0,1,0,0,8,8,8,6.034017300000414,,5.8977442000759766,6.034017300000414,6.034017300000414,6.034017300000414,6.398207800113596,left,0.3606171999126673,None,,,,,,,,,,,,,,826154,001,2024-07-10_20h16.23.009,untitled,2023.2.3,59.669787369136465,2024-07-10 20h16.27.414710 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.398536500055343,6.430605500005186,6.430605500005186,6.430605500005186,6.430605500005186,6.430605500005186,6.430605500005186,6.430605500005186,6.430605500005186,19.16061580006499,space,12.716010600095615,None,826154,001,2024-07-10_20h16.23.009,untitled,2023.2.3,59.669787369136465,2024-07-10 20h16.27.414710 +0200,
