timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,image_5.stopped,text_6.stopped,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,control.started,image.started,key_resp.started,control.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions2.started,text.started,text.stopped,instructions2.stopped,music.started,image_2.started,key_resp_2.started,music.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions3.started,text_2.started,text_2.stopped,instructions3.stopped,music_words.started,image_3.started,key_resp_3.started,music_words.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instructions4.started,text_3.started,instructions4.stopped,music_video.started,image_4.started,Key_resp_4.started,music_video.stopped,Key_resp_4.keys,Key_resp_4.rt,Key_resp_4.duration,final.started,text_4.started,final.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
6,0.7,0.1,,,,,0,3,3,3,,,,,,,,,128.20674490000238,,,,,,,,,,,,,,,,,,,,,,,,,,128.19140009999683,134.2018606000056,134.2018606000056,134.56211199999962,space,0.3555594000063138,None,,,,,,,,,,,,,,,,,,,,,,,,,108354,001,2024-08-30_11h12.54.570,tarea_iceberg,2023.2.3,60.39077663564067,2024-08-30 11h13.05.830903 +0200,
3,-0.7,0.15,,,,,0,4,4,7,,,,,,,,,134.59159199999704,,,,,,,,,,,,,,,,,,,,,,,,,,134.56242400000338,137.56662330000836,137.56662330000836,137.96066670000437,space,0.3769668999884743,None,,,,,,,,,,,,,,,,,,,,,,,,,108354,001,2024-08-30_11h12.54.570,tarea_iceberg,2023.2.3,60.39077663564067,2024-08-30 11h13.05.830903 +0200,
10,0.5,0.1,,,,,0,5,5,1,,,,,,,,,137.99505120000686,,,,,,,,,,,,,,,,,,,,,,,,,,137.96092820000194,147.97782220000227,147.97782220000227,148.3825785000081,space,0.37790839999797754,None,,,,,,,,,,,,,,,,,,,,,,,,,108354,001,2024-08-30_11h12.54.570,tarea_iceberg,2023.2.3,60.39077663564067,2024-08-30 11h13.05.830903 +0200,
10,-0.6,0.15,,,,,0,6,6,2,,,,,,,,,148.3978352999984,,,,,,,,,,,,,,,,,,,,,,,,,,148.38302500000282,158.38657729999977,158.38657729999977,158.81829500000458,space,0.4069941000052495,None,,,,,,,,,,,,,,,,,,,,,,,,,108354,001,2024-08-30_11h12.54.570,tarea_iceberg,2023.2.3,60.39077663564067,2024-08-30 11h13.05.830903 +0200,
9,0.5,0.1,,,,,0,7,7,0,,,,,,,,,158.83215810000547,,,,,,,,,,,,,,,,,,,,,,,,,,158.81876010000997,167.81358400000317,167.81358400000317,168.25674870000512,space,0.41957990000082646,None,,,,,,,,,,,,,,,,,,,,,,,,,108354,001,2024-08-30_11h12.54.570,tarea_iceberg,2023.2.3,60.39077663564067,2024-08-30 11h13.05.830903 +0200,
10,0.5,0.1,,,,,,,,,0,0,0,1,,,,,169.54486680000264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.28697749999992,168.29284890000417,169.54486680000264,169.27720579999732,169.28543600000557,179.28988799999934,179.28988799999934,179.63999470000272,space,0.33313949999865144,None,,,,,,,,,,,,,,108354,001,2024-08-30_11h12.54.570,tarea_iceberg,2023.2.3,60.39077663564067,2024-08-30 11h13.05.830903 +0200,
9,0.5,0.1,,,,,,,,,0,1,1,0,,,,,179.6552412000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.6407707000035,188.65189540000574,188.65189540000574,189.0020535000076,space,0.34908219998760615,None,,,,,,,,,,,,,,108354,001,2024-08-30_11h12.54.570,tarea_iceberg,2023.2.3,60.39077663564067,2024-08-30 11h13.05.830903 +0200,
14,-0.7,0.15,,,,,,,,,0,2,2,6,,,,,189.03316300000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.00229859999672,203.01468790000945,203.01468790000945,203.4112787000049,space,0.37407740000344347,None,,,,,,,,,,,,,,108354,001,2024-08-30_11h12.54.570,tarea_iceberg,2023.2.3,60.39077663564067,2024-08-30 11h13.05.830903 +0200,
6,0.7,0.1,,,,,,,,,0,3,3,3,,,,,203.42952140000125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.41173439999693,209.4300349999976,209.4300349999976,209.79174640000565,space,0.3605595999979414,None,,,,,,,,,,,,,,108354,001,2024-08-30_11h12.54.570,tarea_iceberg,2023.2.3,60.39077663564067,2024-08-30 11h13.05.830903 +0200,
3,-0.7,0.15,,,,,,,,,0,4,4,7,,,,,209.83094300000812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.79201010000543,212.7922896000091,212.7922896000091,213.14611370000057,space,0.32007669999438804,None,,,,,,,,,,,,,,108354,001,2024-08-30_11h12.54.570,tarea_iceberg,2023.2.3,60.39077663564067,2024-08-30 11h13.05.830903 +0200,
11,0.6,0.1,,,,,,,,,0,5,5,5,,,,,213.1898538000096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.14673229999607,224.1447077000048,224.1447077000048,224.49416670000937,space,0.3278029999928549,None,,,,,,,,,,,,,,108354,001,2024-08-30_11h12.54.570,tarea_iceberg,2023.2.3,60.39077663564067,2024-08-30 11h13.05.830903 +0200,
10,-0.6,0.15,,,,,,,,,0,6,6,2,,,,,224.51156850000552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.4946365000069,234.50532910000766,234.50532910000766,234.86127540000598,space,0.3231111999921268,None,,,,,,,,,,,,,,108354,001,2024-08-30_11h12.54.570,tarea_iceberg,2023.2.3,60.39077663564067,2024-08-30 11h13.05.830903 +0200,
11,0.7,0.1,,,,,,,,,0,7,7,4,,,,,234.89691440000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.8617377000046,245.86469060000672,245.86469060000672,246.22517710000102,space,0.3493610000004992,None,,,,,,,,,,,,,,108354,001,2024-08-30_11h12.54.570,tarea_iceberg,2023.2.3,60.39077663564067,2024-08-30 11h13.05.830903 +0200,
12,0.5,0.1,,,,,,,,,,,,,0,0,0,0,247.57930230000056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.25819249999768,246.2640928000037,247.26099760000943,247.27010360000713,259.2555432000081,259.2555432000081,259.612498100003,space,0.3440565000055358,None,,,,108354,001,2024-08-30_11h12.54.570,tarea_iceberg,2023.2.3,60.39077663564067,2024-08-30 11h13.05.830903 +0200,
12,-0.5,0.15,,,,,,,,,,,,,0,1,1,6,259.644354700009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.61289920000127,271.624590499996,271.624590499996,272.16100720000395,space,0.5242901000019629,None,,,,108354,001,2024-08-30_11h12.54.570,tarea_iceberg,2023.2.3,60.39077663564067,2024-08-30 11h13.05.830903 +0200,
6,-0.8,0.15,,,,,,,,,,,,,0,2,2,2,272.17899749999924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.16128610000305,278.20138070000394,278.20138070000394,278.56399310000415,space,0.34387559999595396,None,,,,108354,001,2024-08-30_11h12.54.570,tarea_iceberg,2023.2.3,60.39077663564067,2024-08-30 11h13.05.830903 +0200,
3,-0.7,0.15,,,,,,,,,,,,,0,3,3,1,278.5816845000081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.56437089999963,281.61606230000325,281.61606230000325,282.02393409999786,space,0.4002228000026662,None,,,,108354,001,2024-08-30_11h12.54.570,tarea_iceberg,2023.2.3,60.39077663564067,2024-08-30 11h13.05.830903 +0200,
15,0.5,0.1,,,,,,,,,,,,,0,4,4,4,282.05675830000837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.0242847000045,297.13255290000234,297.13255290000234,297.7330750999972,space,0.5981303999869851,None,,,,108354,001,2024-08-30_11h12.54.570,tarea_iceberg,2023.2.3,60.39077663564067,2024-08-30 11h13.05.830903 +0200,
8,0.9,0.1,,,,,,,,,,,,,0,5,5,5,297.7651176000072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.733327000009,305.72896030000993,305.72896030000993,306.15895840000303,space,0.421713899995666,None,,,,108354,001,2024-08-30_11h12.54.570,tarea_iceberg,2023.2.3,60.39077663564067,2024-08-30 11h13.05.830903 +0200,
14,-0.8,0.15,,,,,,,,,,,,,0,6,6,7,306.17593019999913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.1593891000084,320.1638832000026,320.1638832000026,320.6270515000069,space,0.43186890000652056,None,,,,108354,001,2024-08-30_11h12.54.570,tarea_iceberg,2023.2.3,60.39077663564067,2024-08-30 11h13.05.830903 +0200,
11,0.5,0.1,,,,,,,,,,,,,0,7,7,3,320.64280050000525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.62734730000375,331.6430471000058,331.6430471000058,332.03002469999774,space,0.3811664999957429,None,,,,108354,001,2024-08-30_11h12.54.570,tarea_iceberg,2023.2.3,60.39077663564067,2024-08-30 11h13.05.830903 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.0860898000101,332.09362880000845,334.0890093000053,,,,,,,,
