timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,control.stopped,key_resp.keys,music.started,music.stopped,key_resp_2.keys,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,image_4.started,Key_resp_4.started,music_video.stopped,Key_resp_4.keys,Key_resp_4.rt,Key_resp_4.duration,Ronda_2.started,text_8.started,Ronda_2.stopped,control2.started,control2.stopped,key_resp_6.keys,music2.started,music2.stopped,key_resp_7.keys,music_words2.started,image_8.started,key_resp_8.started,music_words2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,music_video2.started,music_video2.stopped,Key_resp.keys,final.started,text_4.started,text_4.stopped,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003291499990154989,0.017994800000451505,0.017994800000451505,3.004940599988913,3.0049553999997443,3.0216858999920078,6.007982999988599,10.263581699997303,space,4.241189699998358,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927828,642018,Hombre,2024-09-10_10h18.13.052,tarea_iceberg,2023.2.3,60.18531057048444,2024-09-10 10h18.28.212986 +0200,
15,0.7,0.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.401967500001774,,,,,,,,,,,,,10.26361489998817,10.278335299997707,12.265054499992402,12.286583399996744,12.292358299993793,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927828,642018,Hombre,2024-09-10_10h18.13.052,tarea_iceberg,2023.2.3,60.18531057048444,2024-09-10 10h18.28.212986 +0200,
9,-0.7,0.15,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.401967500001774,,,,,,,,,,,,,,,,12.292577999993227,12.297399499992025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927828,642018,Hombre,2024-09-10_10h18.13.052,tarea_iceberg,2023.2.3,60.18531057048444,2024-09-10 10h18.28.212986 +0200,
9,-0.7,0.15,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,12.401967500001774,,,,,,,,,,,,,,,,,,,12.304682999994839,12.309895599988522,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927828,642018,Hombre,2024-09-10_10h18.13.052,tarea_iceberg,2023.2.3,60.18531057048444,2024-09-10 10h18.28.212986 +0200,
15,0.7,0.1,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,12.401967500001774,,,,,,,,,,,,,,,,,,,12.310221199993975,12.31570149998879,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927828,642018,Hombre,2024-09-10_10h18.13.052,tarea_iceberg,2023.2.3,60.18531057048444,2024-09-10 10h18.28.212986 +0200,
15,0.7,0.1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,12.401967500001774,,,,,,,,,,,,,,,,,,,,,,12.34357949999685,12.350946399994427,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927828,642018,Hombre,2024-09-10_10h18.13.052,tarea_iceberg,2023.2.3,60.18531057048444,2024-09-10 10h18.28.212986 +0200,
9,-0.7,0.15,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,12.401967500001774,,,,,,,,,,,,,,,,,,,,,,12.351180799989379,12.355252199995448,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927828,642018,Hombre,2024-09-10_10h18.13.052,tarea_iceberg,2023.2.3,60.18531057048444,2024-09-10 10h18.28.212986 +0200,
5,-0.6,0.15,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,12.401967500001774,,,,,,,,,,,,,,,,,,,,,,,,,12.38485389998823,17.38586869998835,17.38586869998835,18.36065279999457,space,0.9687320000084583,None,,,,,,,,,,,,,,,,,,,,,,,,927828,642018,Hombre,2024-09-10_10h18.13.052,tarea_iceberg,2023.2.3,60.18531057048444,2024-09-10 10h18.28.212986 +0200,
10,0.7,0.1,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,18.377932799994596,,,,,,,,,,,,,,,,,,,,,,,,,18.36134509999829,28.363585599989165,28.363585599989165,28.755649200000335,space,0.3745022999937646,None,,,,,,,,,,,,,,,,,,,,,,,,927828,642018,Hombre,2024-09-10_10h18.13.052,tarea_iceberg,2023.2.3,60.18531057048444,2024-09-10 10h18.28.212986 +0200,
10,0.5,0.1,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,31.275782500000787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.797400800001924,28.80962639999052,30.800677999999607,30.809479399991687,30.81538849999197,None,,,,,,,,,,,,,,,,,,927828,642018,Hombre,2024-09-10_10h18.13.052,tarea_iceberg,2023.2.3,60.18531057048444,2024-09-10 10h18.28.212986 +0200,
