timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,control.started,movie.started,image.started,key_resp.started,control.stopped,key_resp.keys,key_resp.rt,key_resp.duration,videonotworking.started,key_resp_4.started,videonotworking.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
2,-0.7,0.15,0,0,0,1,,,,,0.04133960000035586,,0.013308999999935622,0.04133960000035586,2.013047500000539,2.013047500000539,2.6618484999999055,space,0.6421895000003133,None,,,,,,,565872,001,2024-08-29_12h45.26.362,tarea_iceberg,2023.2.3,60.056020255345196,2024-08-29 12h45.36.397736 +0200,
2,-0.8,0.15,0,1,1,0,,,,,2.8208226000006107,,2.765812499999811,2.8208226000006107,4.776501199999984,4.776501199999984,5.110530400001153,space,0.33022409999830415,None,,,,,,,565872,001,2024-08-29_12h45.26.362,tarea_iceberg,2023.2.3,60.056020255345196,2024-08-29 12h45.36.397736 +0200,
2,-0.8,0.15,,,,,0,0,0,0,5.242362099999809,,,,,,,,,,5.23449729999993,5.242362099999809,24.8293192000001,space,19.58225830000083,None,565872,001,2024-08-29_12h45.26.362,tarea_iceberg,2023.2.3,60.056020255345196,2024-08-29 12h45.36.397736 +0200,
,,,,,,,,,,,24.85568140000032,,,,,,,,,,24.82968240000082,24.85568140000032,,,,,,,,,,,,
