timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,control.stopped,key_resp.keys,music.started,music.stopped,key_resp_2.keys,music_words.started,image_3.started,key_resp_3.started,music_words.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,music_video.started,music_video.stopped,Key_resp_4.keys,Ronda_2.started,text_8.started,Ronda_2.stopped,control2.started,control2.stopped,key_resp_6.keys,music2.started,image_7.started,key_resp_7.started,music2.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,music_words2.started,music_words2.stopped,key_resp_8.keys,music_video2.started,music_video2.stopped,Key_resp.keys,final.started,text_4.started,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004339500010246411,0.02731280001171399,0.02731280001171399,3.0024458000116283,3.002481400006218,3.0188825000077486,6.006055200006813,7.541345300007379,space,1.523079599995981,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252428,700110,Hombre,2024-09-10_10h05.17.968,tarea_iceberg,2023.2.3,59.98731868552799,2024-09-10 10h05.45.641435 +0200,
8,0.6,0.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.716133699999773,,,,,,,,,,,,,7.541382000010344,7.556804000007105,9.544590200006496,9.55702459999884,9.565389000010327,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252428,700110,Hombre,2024-09-10_10h05.17.968,tarea_iceberg,2023.2.3,59.98731868552799,2024-09-10 10h05.45.641435 +0200,
8,-0.6,0.15,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.716133699999773,,,,,,,,,,,,,,,,9.565667300004861,9.570945100000245,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252428,700110,Hombre,2024-09-10_10h05.17.968,tarea_iceberg,2023.2.3,59.98731868552799,2024-09-10 10h05.45.641435 +0200,
8,-0.6,0.15,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,9.716133699999773,,,,,,,,,,,,,,,,,,,9.635896400010097,9.644160700001521,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252428,700110,Hombre,2024-09-10_10h05.17.968,tarea_iceberg,2023.2.3,59.98731868552799,2024-09-10 10h05.45.641435 +0200,
8,0.6,0.1,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,9.716133699999773,,,,,,,,,,,,,,,,,,,9.644421300006798,9.649780600011582,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252428,700110,Hombre,2024-09-10_10h05.17.968,tarea_iceberg,2023.2.3,59.98731868552799,2024-09-10 10h05.45.641435 +0200,
8,-0.6,0.15,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,9.716133699999773,,,,,,,,,,,,,,,,,,,,,,9.690038200002164,17.68554849999782,17.68554849999782,18.281264300007024,space,0.5724981999956071,None,,,,,,,,,,,,,,,,,,,,,,,,,,252428,700110,Hombre,2024-09-10_10h05.17.968,tarea_iceberg,2023.2.3,59.98731868552799,2024-09-10 10h05.45.641435 +0200,
8,0.6,0.1,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,18.300504300001194,,,,,,,,,,,,,,,,,,,,,,18.281860400005826,26.29240849999769,26.29240849999769,26.810087000005296,space,0.5090199999976903,None,,,,,,,,,,,,,,,,,,,,,,,,,,252428,700110,Hombre,2024-09-10_10h05.17.968,tarea_iceberg,2023.2.3,59.98731868552799,2024-09-10 10h05.45.641435 +0200,
5,-0.7,0.15,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,26.933465200010687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.850131500003044,26.858059100006358,None,,,,,,,,,,,,,,,,,,,,,,,252428,700110,Hombre,2024-09-10_10h05.17.968,tarea_iceberg,2023.2.3,59.98731868552799,2024-09-10 10h05.45.641435 +0200,
6,-0.7,0.15,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,26.933465200010687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.858399600008852,26.865078100003302,None,,,,,,,,,,,,,,,,,,,,,,,252428,700110,Hombre,2024-09-10_10h05.17.968,tarea_iceberg,2023.2.3,59.98731868552799,2024-09-10 10h05.45.641435 +0200,
3,0.7,0.1,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,29.16776490000484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.920593100003316,26.933465200010687,28.92832140000246,28.937945800003945,28.94474600000831,None,,,,,,,,,,,,,,,,,252428,700110,Hombre,2024-09-10_10h05.17.968,tarea_iceberg,2023.2.3,59.98731868552799,2024-09-10 10h05.45.641435 +0200,
3,-0.5,0.15,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,29.16776490000484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.945103200006997,28.949761800002307,None,,,,,,,,,,,,,,,,,252428,700110,Hombre,2024-09-10_10h05.17.968,tarea_iceberg,2023.2.3,59.98731868552799,2024-09-10 10h05.45.641435 +0200,
3,-0.5,0.15,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,29.16776490000484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.959830300009344,31.965754400007427,31.965754400007427,33.20125810000172,space,1.2190662999928463,None,,,,,,,,,,252428,700110,Hombre,2024-09-10_10h05.17.968,tarea_iceberg,2023.2.3,59.98731868552799,2024-09-10 10h05.45.641435 +0200,
3,0.7,0.1,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,33.21765580000647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.20171010000922,36.207770599998184,36.207770599998184,36.64010460001009,space,0.41770449999603443,None,,,,,,,,,,252428,700110,Hombre,2024-09-10_10h05.17.968,tarea_iceberg,2023.2.3,59.98731868552799,2024-09-10 10h05.45.641435 +0200,
3,0.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,36.69183789999806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.651114300009795,36.65678499999922,None,,,,,,,252428,700110,Hombre,2024-09-10_10h05.17.968,tarea_iceberg,2023.2.3,59.98731868552799,2024-09-10 10h05.45.641435 +0200,
3,-0.5,0.15,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,36.69183789999806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.65710540000873,36.66232129999844,None,,,,,,,252428,700110,Hombre,2024-09-10_10h05.17.968,tarea_iceberg,2023.2.3,59.98731868552799,2024-09-10 10h05.45.641435 +0200,
9,-0.7,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,36.69183789999806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.672709100006614,36.67816200001107,None,,,,252428,700110,Hombre,2024-09-10_10h05.17.968,tarea_iceberg,2023.2.3,59.98731868552799,2024-09-10 10h05.45.641435 +0200,
13,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,36.69183789999806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.67845880000095,36.683984700008295,None,,,,252428,700110,Hombre,2024-09-10_10h05.17.968,tarea_iceberg,2023.2.3,59.98731868552799,2024-09-10 10h05.45.641435 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.684098900004756,36.69183789999806,38.68788180001138,,,,,,,,,
