timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,control.stopped,key_resp.keys,music.started,music.stopped,key_resp_2.keys,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,image_4.started,Key_resp_4.started,music_video.stopped,Key_resp_4.keys,Key_resp_4.rt,Key_resp_4.duration,Ronda_2.started,text_8.started,Ronda_2.stopped,control2.started,control2.stopped,key_resp_6.keys,music2.started,music2.stopped,key_resp_7.keys,music_words2.started,image_8.started,key_resp_8.started,music_words2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,music_video2.started,music_video2.stopped,Key_resp.keys,Ronda_3.started,text_9.started,text_9.stopped,Ronda_3.stopped,control3.started,image_10.started,key_resp_9.started,control3.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,music3.started,music3.stopped,key_resp_10.keys,music_words3.started,music_words3.stopped,key_resp_11.keys,music_video3.started,music_video3.stopped,Key_resp_2.keys,final.started,text_4.started,text_4.stopped,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
8,-0.7,0.15,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.456117299967445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.116775999893434,28.120949699892662,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864329,261578,Hombre,2024-09-18_12h42.32.820,tarea_iceberg,2023.2.3,59.56089328274647,2024-09-18 12h42.58.645243 +0200,
8,-0.7,0.15,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,28.456117299967445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.128139499924146,28.13291089993436,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864329,261578,Hombre,2024-09-18_12h42.32.820,tarea_iceberg,2023.2.3,59.56089328274647,2024-09-18 12h42.58.645243 +0200,
8,0.6,0.1,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,28.456117299967445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.13314489996992,28.137281099916436,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864329,261578,Hombre,2024-09-18_12h42.32.820,tarea_iceberg,2023.2.3,59.56089328274647,2024-09-18 12h42.58.645243 +0200,
8,-0.7,0.15,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,28.456117299967445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.144423199933954,36.14067799993791,36.14067799993791,36.54302269988693,space,0.3914937999797985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,864329,261578,Hombre,2024-09-18_12h42.32.820,tarea_iceberg,2023.2.3,59.56089328274647,2024-09-18 12h42.58.645243 +0200,
8,0.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,36.55833219992928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.54337709990796,44.549285499961115,44.549285499961115,44.88982129993383,space,0.3356659000273794,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,864329,261578,Hombre,2024-09-18_12h42.32.820,tarea_iceberg,2023.2.3,59.56089328274647,2024-09-18 12h42.58.645243 +0200,
14,0.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,44.91719209996518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.898271399899386,44.90297979989555,None,,,,,,,,,,,,,,,,,,,,,,,,,864329,261578,Hombre,2024-09-18_12h42.32.820,tarea_iceberg,2023.2.3,59.56089328274647,2024-09-18 12h42.58.645243 +0200,
11,0.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,44.91719209996518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.90322129998822,44.90760939999018,None,,,,,,,,,,,,,,,,,,,,,,,,,864329,261578,Hombre,2024-09-18_12h42.32.820,tarea_iceberg,2023.2.3,59.56089328274647,2024-09-18 12h42.58.645243 +0200,
3,-0.5,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,47.193146399920806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.907726699952036,44.91719209996518,47.193146399920806,46.90258829994127,46.910182599909604,49.92106879991479,49.92106879991479,50.29541659995448,space,0.36464849999174476,None,,,,,,,,,,,,,,864329,261578,Hombre,2024-09-18_12h42.32.820,tarea_iceberg,2023.2.3,59.56089328274647,2024-09-18 12h42.58.645243 +0200,
5,-0.8,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,50.31054919993039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.29601829999592,55.30975109990686,55.30975109990686,56.20011429989245,space,0.8714737000409514,None,,,,,,,,,,,,,,864329,261578,Hombre,2024-09-18_12h42.32.820,tarea_iceberg,2023.2.3,59.56089328274647,2024-09-18 12h42.58.645243 +0200,
3,-0.5,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,56.258904499933124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.208327299915254,56.21319789998233,None,,,,,,,,,,,864329,261578,Hombre,2024-09-18_12h42.32.820,tarea_iceberg,2023.2.3,59.56089328274647,2024-09-18 12h42.58.645243 +0200,
5,-0.8,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,56.258904499933124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.21342759998515,56.217444699956104,None,,,,,,,,,,,864329,261578,Hombre,2024-09-18_12h42.32.820,tarea_iceberg,2023.2.3,59.56089328274647,2024-09-18 12h42.58.645243 +0200,
3,-0.5,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,56.258904499933124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.224814599961974,56.229639699915424,None,,,,,,,,864329,261578,Hombre,2024-09-18_12h42.32.820,tarea_iceberg,2023.2.3,59.56089328274647,2024-09-18 12h42.58.645243 +0200,
5,-0.8,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,56.258904499933124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.229897199897096,56.234572699991986,None,,,,,,,,864329,261578,Hombre,2024-09-18_12h42.32.820,tarea_iceberg,2023.2.3,59.56089328274647,2024-09-18 12h42.58.645243 +0200,
4,0.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,56.258904499933124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.24164349993225,56.246110799955204,None,,,,,864329,261578,Hombre,2024-09-18_12h42.32.820,tarea_iceberg,2023.2.3,59.56089328274647,2024-09-18 12h42.58.645243 +0200,
13,0.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,56.258904499933124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.24636709992774,56.250267699942924,None,,,,,864329,261578,Hombre,2024-09-18_12h42.32.820,tarea_iceberg,2023.2.3,59.56089328274647,2024-09-18 12h42.58.645243 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.250363799976185,56.258904499933124,58.263390799984336,58.246866699890234,,,,,,,,,
