timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,trials_15.thisRepN,trials_15.thisTrialN,trials_15.thisN,trials_15.thisIndex,trials_16.thisRepN,trials_16.thisTrialN,trials_16.thisN,trials_16.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,control.stopped,key_resp.keys,music.started,music.stopped,key_resp_2.keys,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,image_4.started,Key_resp_4.started,music_video.stopped,Key_resp_4.keys,Key_resp_4.rt,Key_resp_4.duration,Ronda_2.started,text_8.started,text_8.stopped,Ronda_2.stopped,control2.started,control2.stopped,key_resp_6.keys,music2.started,image_7.started,key_resp_7.started,music2.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,music_words2.started,music_words2.stopped,key_resp_8.keys,music_video2.started,music_video2.stopped,Key_resp.keys,Ronda_3.started,text_9.started,text_9.stopped,Ronda_3.stopped,control3.started,control3.stopped,key_resp_9.keys,music3.started,music3.stopped,key_resp_10.keys,music_words3.started,music_words3.stopped,key_resp_11.keys,music_video3.started,image_13.started,Key_resp_2.started,music_video3.stopped,Key_resp_2.keys,Key_resp_2.rt,Key_resp_2.duration,Ronda_4.started,text_10.started,text_10.stopped,Ronda_4.stopped,control4.started,image_14.started,key_resp_12.started,control4.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,music4.started,music4.stopped,key_resp_13.keys,music_words4.started,music_words4.stopped,key_resp_14.keys,music_video4.started,music_video4.stopped,Key_resp_3.keys,final.started,text_4.started,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
4,-0.5,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,66.06619120005053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.46092000009958,69.45489000005182,69.45489000005182,70.08043500001077,space,0.6191403000848368,None,,,,,,,,,,,,,,,,,,,,,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
7,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,70.09510690008756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0807982000988,77.09582400007639,77.09582400007639,77.73596840002574,space,0.6340372000122443,None,,,,,,,,,,,,,,,,,,,,,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
9,-0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,77.75154580001254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.73627019999549,86.73481990001164,86.73481990001164,87.28152020007838,space,0.5390513999154791,None,,,,,,,,,,,,,,,,,,,,,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
7,-0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,89.84222620003857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.32864850002807,87.33873070008121,89.84222620003857,89.32250850007404,89.33595470001455,96.3283020000672,96.3283020000672,96.91551920003258,space,0.56963879999239,None,,,,,,,,,,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
6,-0.2,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,96.93106200010516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.91585680004209,102.92025439999998,102.92025439999998,104.08965530002024,space,1.152690300019458,None,,,,,,,,,,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
5,-0.2,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,104.119122800068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.08993500005454,109.09180200006813,109.09180200006813,110.01048520009499,space,0.9171415000455454,None,,,,,,,,,,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
6,-0.2,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,110.19819030002691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.02426420000847,110.02924880001228,None,,,,,,,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
5,-0.2,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,110.19819030002691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.02947990002576,110.0336986000184,None,,,,,,,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
7,-0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,110.19819030002691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.03389459999744,110.03800719999708,None,,,,,,,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
5,-0.2,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,110.19819030002691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.08041799999774,110.08519930008333,None,,,,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
7,-0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,110.19819030002691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.08543800003827,110.08963030006271,None,,,,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
6,-0.2,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,110.19819030002691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.08980760001577,110.09382830001414,None,,,,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
6,-0.2,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,110.19819030002691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.1321724000154,110.13779559999239,None,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
5,-0.2,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,110.19819030002691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.13803290005308,110.14215730002616,None,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
7,-0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,110.19819030002691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.14234040002339,110.1463025000412,None,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.1887670001015,110.19819030002691,112.19504470005631,,,,,,,,,
