routineName,timepresentation,posx,posy,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,random_routines.started,random_routines.stopped,executedRoutine,nueva_ronda.started,text_7.started,nueva_ronda.stopped,control.started,control.stopped,key_resp.keys,music.started,music.stopped,key_resp_2.keys,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,image_4.started,Key_resp_4.started,music_video.stopped,Key_resp_4.keys,Key_resp_4.rt,Key_resp_4.duration,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0020810999994864687,0.014760599995497614,0.014760599995497614,3.010201400000369,3.0102174999919953,3.026517199992668,6.008201899996493,29.677562700002454,space,23.664288899992243,None,,,,,,,,,,,,,,,,,,,,,,,941196,981618,Hombre,2024-08-30_14h00.39.773,tarea_iceberg,2023.2.3,60.00103201687768,2024-08-30 14h00.53.288390 +0200,
music_video,9,-0.5,0.15,0,0,0,0,0,0,0,0,,,,,,,,,,,,,31.83306160000211,,,,,,,,,,,,,29.68269479999435,29.68272369999613,music_video,29.682761599993682,29.692792000001646,31.691561699990416,31.698884299999918,31.705089700000826,None,,,,,,,,,,,,,,941196,981618,Hombre,2024-08-30_14h00.39.773,tarea_iceberg,2023.2.3,60.00103201687768,2024-08-30 14h00.53.288390 +0200,
music_video,11,0.9,0.1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,31.83306160000211,,,,,,,,,,,,,,,,,,,31.705336500002886,31.712870999996085,None,,,,,,,,,,,,,,941196,981618,Hombre,2024-08-30_14h00.39.773,tarea_iceberg,2023.2.3,60.00103201687768,2024-08-30 14h00.53.288390 +0200,
music_video,9,-0.5,0.15,0,0,0,0,,,,,0,0,0,0,,,,,,,,,31.83306160000211,,,,,,,,,,,,,,,,,,,,,,31.720065599991358,31.72827549999056,None,,,,,,,,,,,941196,981618,Hombre,2024-08-30_14h00.39.773,tarea_iceberg,2023.2.3,60.00103201687768,2024-08-30 14h00.53.288390 +0200,
music_video,11,0.9,0.1,0,0,0,0,,,,,0,1,1,1,,,,,,,,,31.83306160000211,,,,,,,,,,,,,,,,,,,,,,31.728601299997536,31.734205899992958,None,,,,,,,,,,,941196,981618,Hombre,2024-08-30_14h00.39.773,tarea_iceberg,2023.2.3,60.00103201687768,2024-08-30 14h00.53.288390 +0200,
music_video,11,0.9,0.1,0,0,0,0,,,,,,,,,0,0,0,1,,,,,31.83306160000211,,,,,,,,,,,,,,,,,,,,,,,,,31.770340899995063,31.7786083999963,None,,,,,,,,941196,981618,Hombre,2024-08-30_14h00.39.773,tarea_iceberg,2023.2.3,60.00103201687768,2024-08-30 14h00.53.288390 +0200,
music_video,9,-0.5,0.15,0,0,0,0,,,,,,,,,0,1,1,0,,,,,31.83306160000211,,,,,,,,,,,,,,,,,,,,,,,,,31.77891969999473,31.78385919998982,None,,,,,,,,941196,981618,Hombre,2024-08-30_14h00.39.773,tarea_iceberg,2023.2.3,60.00103201687768,2024-08-30 14h00.53.288390 +0200,
music_video,10,0.7,0.1,0,0,0,0,,,,,,,,,,,,,0,0,0,1,31.83306160000211,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.809381899991422,41.80451549999998,41.80451549999998,42.1485004999995,space,0.33883480000076815,None,941196,981618,Hombre,2024-08-30_14h00.39.773,tarea_iceberg,2023.2.3,60.00103201687768,2024-08-30 14h00.53.288390 +0200,
music_video,11,0.7,0.1,0,0,0,0,,,,,,,,,,,,,0,1,1,0,42.176240499989945,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.148830699996324,53.14745789999142,53.14745789999142,53.61395119999361,space,0.43706350000866223,None,941196,981618,Hombre,2024-08-30_14h00.39.773,tarea_iceberg,2023.2.3,60.00103201687768,2024-08-30 14h00.53.288390 +0200,
music_video,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,941196,981618,Hombre,2024-08-30_14h00.39.773,tarea_iceberg,2023.2.3,60.00103201687768,2024-08-30 14h00.53.288390 +0200,
music_words,8,-0.5,0.15,0,1,1,1,0,0,0,0,,,,,,,,,,,,,53.68085629999405,,,,,,,,,,,,,53.67348219999985,53.67354000000341,music_words,53.673544599994784,53.68085629999405,55.67643579999276,55.68512270000065,55.69055559999833,None,,,,,,,,,,,,,,941196,981618,Hombre,2024-08-30_14h00.39.773,tarea_iceberg,2023.2.3,60.00103201687768,2024-08-30 14h00.53.288390 +0200,
music_words,4,0.7,0.1,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.69081859999278,55.69536389999848,None,,,,,,,,,,,,,,941196,981618,Hombre,2024-08-30_14h00.39.773,tarea_iceberg,2023.2.3,60.00103201687768,2024-08-30 14h00.53.288390 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.702510299990536,,,,,,,,,,,,,,,,,,,,,
