timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,trials_15.thisRepN,trials_15.thisTrialN,trials_15.thisN,trials_15.thisIndex,trials_16.thisRepN,trials_16.thisTrialN,trials_16.thisN,trials_16.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,control.stopped,key_resp.keys,music.started,music.stopped,key_resp_2.keys,music_words.started,image_3.started,key_resp_3.started,music_words.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,music_video.started,music_video.stopped,Key_resp_4.keys,Ronda_2.started,text_8.started,text_8.stopped,Ronda_2.stopped,control2.started,image_6.started,key_resp_6.started,control2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,music2.started,music2.stopped,key_resp_7.keys,music_words2.started,music_words2.stopped,key_resp_8.keys,music_video2.started,music_video2.stopped,Key_resp.keys,Ronda_3.started,text_9.started,text_9.stopped,Ronda_3.stopped,control3.started,control3.stopped,key_resp_9.keys,music3.started,music3.stopped,key_resp_10.keys,music_words3.started,music_words3.stopped,key_resp_11.keys,music_video3.started,image_13.started,Key_resp_2.started,music_video3.stopped,Key_resp_2.keys,Key_resp_2.rt,Key_resp_2.duration,Ronda_4.started,text_10.started,Ronda_4.stopped,control4.started,control4.stopped,key_resp_12.keys,music4.started,image_15.started,key_resp_13.started,music4.stopped,key_resp_13.keys,key_resp_13.rt,key_resp_13.duration,music_words4.started,music_words4.stopped,key_resp_14.keys,music_video4.started,music_video4.stopped,Key_resp_3.keys,final.started,text_4.started,text_4.stopped,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
8,0.1,0.05,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.428720699972473,,,,,,,,,,,,,,,,,,,17.335659299977124,17.340581299969926,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
13,0.3,0.05,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.428720699972473,,,,,,,,,,,,,,,,,,,17.34079909999855,17.34557450003922,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
11,-0.3,0.05,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.428720699972473,,,,,,,,,,,,,,,,,,,17.345779599971138,17.35009910003282,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
15,0.6,0.05,,,,,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.428720699972473,,,,,,,,,,,,,,,,,,,17.35028500005137,17.354387799976394,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
15,0.5,0.05,,,,,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.428720699972473,,,,,,,,,,,,,,,,,,,17.354594300035387,17.35891690000426,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
6,0,0.05,,,,,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.428720699972473,,,,,,,,,,,,,,,,,,,17.35909589997027,17.363291200017557,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
5,0.5,0.05,,,,,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.428720699972473,,,,,,,,,,,,,,,,,,,17.363516099983826,17.367568299989216,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
6,0,0.05,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.428720699972473,,,,,,,,,,,,,,,,,,,,,,17.402904100017622,23.3980119000189,23.3980119000189,23.77340569999069,space,0.3556556000839919,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
11,-0.3,0.05,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.791532700066455,,,,,,,,,,,,,,,,,,,,,,23.773993600043468,34.778233500081114,34.778233500081114,35.106249800068326,space,0.3180922999745235,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
8,0.1,0.05,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.12334529997315,,,,,,,,,,,,,,,,,,,,,,35.10686900001019,43.11872620007489,43.11872620007489,43.588678600033745,space,0.4663021999876946,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
5,0.5,0.05,,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.60395590006374,,,,,,,,,,,,,,,,,,,,,,43.58895470004063,48.59136209997814,48.59136209997814,49.18173189996742,space,0.5775662999367341,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
15,0.5,0.05,,,,,,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.198136100079864,,,,,,,,,,,,,,,,,,,,,,49.18223290005699,64.18985860003158,64.18985860003158,64.54873789998237,space,0.3543240000726655,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
15,0.6,0.05,,,,,,,,,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.5651693000691,,,,,,,,,,,,,,,,,,,,,,64.5493161000777,79.55498290003743,79.55498290003743,79.97871890000533,space,0.4210125000681728,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
13,0.3,0.05,,,,,,,,,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.99533100007102,,,,,,,,,,,,,,,,,,,,,,79.9792173000751,92.98547159996815,92.98547159996815,93.34334829996806,space,0.35058379999827594,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
9,0.1,0.05,,,,,,,,,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.35989590000827,,,,,,,,,,,,,,,,,,,,,,93.34385850001127,102.34432729997206,102.34432729997206,102.71304170007352,space,0.35906160005833954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
15,0.5,0.05,,,,,,,,,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.83982300001662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.75382700003684,102.75955100008287,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
6,0,0.05,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.83982300001662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.75978540000506,102.76377239997964,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
9,0.1,0.05,,,,,,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.83982300001662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.76395849999972,102.76793500001077,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
11,-0.3,0.05,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.83982300001662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.76810330001172,102.77208240004256,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
15,0.6,0.05,,,,,,,,,,,,,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.83982300001662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.77225350006483,102.77645070001017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
5,0.5,0.05,,,,,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.83982300001662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.77662889997009,102.78048610000405,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
13,0.3,0.05,,,,,,,,,,,,,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.83982300001662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.78065169998445,102.78444249997847,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
8,0.1,0.05,,,,,,,,,,,,,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.83982300001662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.78460870007984,102.78849429998081,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
4,-0.5,0.05,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.38067109999247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.82990670006257,102.83982300001662,105.38067109999247,104.82936259999406,104.84264140005689,108.8328271000646,108.8328271000646,109.24157279997598,space,0.3993907000403851,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
6,-0.3,0.05,,,,,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.25781810004264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.24215890001506,115.25652190006804,115.25652190006804,115.74175280006602,space,0.4713666000170633,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
10,0.5,0.05,,,,,,,,,,,,,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.75684819999151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.74201729998458,125.75071880000178,125.75071880000178,126.27469170000404,space,0.5053010999690741,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
3,0,0.05,,,,,,,,,,,,,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.29087909997907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.27514130005147,129.2876323000528,129.2876323000528,129.61162480001803,space,0.31274199998006225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
11,-0.4,0.05,,,,,,,,,,,,,,,,,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.62782469997182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.61206610000227,140.6155314000789,140.6155314000789,140.97363540006336,space,0.3358732999768108,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
8,-0.3,0.05,,,,,,,,,,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.98961819999386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.9740856999997,148.98946379998233,148.98946379998233,149.31435420003254,space,0.31528940005227923,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
