timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,trials_15.thisRepN,trials_15.thisTrialN,trials_15.thisN,trials_15.thisIndex,trials_16.thisRepN,trials_16.thisTrialN,trials_16.thisN,trials_16.thisIndex,thisRow.t,notes,ronda1,ronda2,ronda3,ronda4,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,control.stopped,resp_control_r1.keys,music.started,music.stopped,resp_music_r1.keys,music_words.started,music_words.stopped,resp_musicw_r1.keys,music_video.started,image_4.started,resp_musicv_r1.started,music_video.stopped,resp_musicv_r1.keys,resp_musicv_r1.rt,resp_musicv_r1.duration,Ronda_2.started,text_8.started,Ronda_2.stopped,control2.started,image_6.started,resp_control_r2.started,control2.stopped,resp_control_r2.keys,resp_control_r2.rt,resp_control_r2.duration,music2.started,music2.stopped,resp_music_r2.keys,music_words2.started,music_words2.stopped,resp_musicw_r2.keys,music_video2.started,music_video2.stopped,resp_musicv_r2.keys,Ronda_3.started,text_9.started,text_9.stopped,Ronda_3.stopped,control3.started,control3.stopped,resp_control_r3.keys,music3.started,music3.stopped,resp_music_r3.keys,music_words3.started,image_12.started,resp_musicw_r3.started,music_words3.stopped,resp_musicw_r3.keys,resp_musicw_r3.rt,resp_musicw_r3.duration,music_video3.started,music_video3.stopped,resp_musicv_r3.keys,Ronda_4.started,text_10.started,Ronda_4.stopped,control4.started,control4.stopped,resp_control_r4.keys,music4.started,image_15.started,resp_music_r4.started,music4.stopped,resp_music_r4.keys,resp_music_r4.rt,resp_music_r4.duration,music_words4.started,music_words4.stopped,resp_musicw_r4.keys,music_video4.started,music_video4.stopped,resp_musicv_r4.keys,final.started,text_4.started,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
9,-0.4,0.05,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.668703299947083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.592098499881104,19.584151099901646,19.584151099901646,20.161567999981344,space,0.558546399930492,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
11,0.1,0.05,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.183144700014964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.16221940005198,31.168901199940592,31.168901199940592,31.506899799918756,space,0.317362500121817,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
11,0.2,0.05,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.53355609998107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.507669700076804,42.512258199974895,42.512258199974895,42.83934639999643,space,0.31787430006079376,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
11,0,0.05,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.571734899887815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.90373090002686,42.919541999930516,44.9106181000825,44.92710809991695,55.90869090007618,55.90869090007618,56.24074869998731,space,0.3303541000932455,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
11,-0.7,0.05,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.27198310010135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.24134290008806,67.24584649992175,67.24584649992175,67.60130179999396,space,0.34340290003456175,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
7,-0.4,0.05,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.61894849990495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.60168910003267,74.61108649987727,74.61108649987727,74.95111440005712,space,0.3224053999874741,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
11,0,0.05,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.20444249990396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.97315720003098,74.97942700004205,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
11,-0.7,0.05,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.20444249990396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.97975330008194,74.98591669998132,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
7,-0.4,0.05,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.20444249990396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.98617239994928,74.99225470004603,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
11,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.20444249990396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.03907749988139,75.04579110001214,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
11,-0.7,0.05,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.20444249990396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.04611329990439,75.0519582000561,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
7,-0.4,0.05,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.20444249990396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.05222239997238,75.0580498999916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
11,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.20444249990396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.10857830010355,75.11593299987726,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
11,-0.7,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.20444249990396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.1162588999141,75.12213009991683,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
7,-0.4,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.20444249990396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.12239410006441,75.12811610009521,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
5,0.3,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.01128929993138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.19184229988605,75.20444249990396,78.01128929993138,77.19116590009071,77.20884170010686,77.21460839989595,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
9,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.01128929993138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.21490060002543,77.21917219995521,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
6,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.01128929993138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.21938839997165,77.2245583999902,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
5,0.3,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,78.01128929993138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.23799990001135,77.24295870005153,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
9,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,78.01128929993138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.24325540009886,77.2479491000995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
6,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,78.01128929993138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.24819600000046,77.2528081999626,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
5,0.3,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,78.01128929993138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.2860389999114,82.27118039992638,82.27118039992638,82.63037439994514,space,0.35042060003615916,None,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
9,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,82.64986749994569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.63136289990507,91.63020129990764,91.63020129990764,91.97242269990966,space,0.3279109001159668,None,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
6,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,91.99221149994992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.97311950009316,97.98034189990722,97.98034189990722,98.33811570005491,space,0.3456929998937994,None,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
5,0.3,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,98.48557309992611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.39257890009321,98.40035160002299,None,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
9,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,98.48557309992611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.40073950006627,98.40796280000359,None,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
6,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,98.48557309992611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.40827080002055,98.41537149995565,None,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
9,0.5,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,101.46897109993733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.47083689994179,98.48557309992611,100.47524729999714,100.49155630008318,100.49693519994617,None,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
6,-0.2,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,101.46897109993733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.49718259996735,100.5010824999772,None,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
