routineName,timepresentation,posx,posy,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,image_5.stopped,text_6.stopped,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,random_routines.started,random_routines.stopped,executedRoutine,nueva_ronda.started,text_7.started,nueva_ronda.stopped,control.started,control.stopped,key_resp.keys,music.started,music.stopped,key_resp_2.keys,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,image_4.started,Key_resp_4.started,music_video.stopped,Key_resp_4.keys,Key_resp_4.rt,Key_resp_4.duration,text_7.stopped,image.started,key_resp.started,key_resp.rt,key_resp.duration,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.002481499992427416,0.013456200002110563,0.013456200002110563,3.0153700999944704,3.0153700999944704,2.9998362000042107,2.9998519999935525,3.0153700999944704,6.01340870000422,6.181462099993951,space,0.15702889999374747,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,642531,250888,Hombre,2024-08-30_13h58.34.900,tarea_iceberg,2023.2.3,60.07510589405334,2024-08-30 13h58.47.580111 +0200,
music_video,4,-0.5,0.15,0,0,0,0,0,0,0,0,,,,,,,,,,,,,8.325565099992673,,,,,,,,,,,,,,,6.187380200004554,6.187416899992968,music_video,6.187426199991023,6.196777599994675,8.195323199994164,8.203499099996407,8.209081799999694,None,,,,,,,,,,,,,,,,,,,642531,250888,Hombre,2024-08-30_13h58.34.900,tarea_iceberg,2023.2.3,60.07510589405334,2024-08-30 13h58.47.580111 +0200,
music_video,5,0.9,0.1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,8.325565099992673,,,,,,,,,,,,,,,,,,,,,8.20931209999253,8.214125099999364,None,,,,,,,,,,,,,,,,,,,642531,250888,Hombre,2024-08-30_13h58.34.900,tarea_iceberg,2023.2.3,60.07510589405334,2024-08-30 13h58.47.580111 +0200,
music_video,5,0.9,0.1,0,0,0,0,,,,,0,0,0,1,,,,,,,,,8.325565099992673,,,,,,,,,,,,,,,,,,,,,,,,8.221331599997939,8.226318300003186,None,,,,,,,,,,,,,,,,642531,250888,Hombre,2024-08-30_13h58.34.900,tarea_iceberg,2023.2.3,60.07510589405334,2024-08-30 13h58.47.580111 +0200,
music_video,4,-0.5,0.15,0,0,0,0,,,,,0,1,1,0,,,,,,,,,8.325565099992673,,,,,,,,,,,,,,,,,,,,,,,,8.226651799996034,8.231387699997867,None,,,,,,,,,,,,,,,,642531,250888,Hombre,2024-08-30_13h58.34.900,tarea_iceberg,2023.2.3,60.07510589405334,2024-08-30 13h58.47.580111 +0200,
music_video,4,-0.5,0.15,0,0,0,0,,,,,,,,,0,0,0,0,,,,,8.325565099992673,,,,,,,,,,,,,,,,,,,,,,,,,,,8.261281600003713,8.268169200004195,None,,,,,,,,,,,,,642531,250888,Hombre,2024-08-30_13h58.34.900,tarea_iceberg,2023.2.3,60.07510589405334,2024-08-30 13h58.47.580111 +0200,
music_video,5,0.9,0.1,0,0,0,0,,,,,,,,,0,1,1,1,,,,,8.325565099992673,,,,,,,,,,,,,,,,,,,,,,,,,,,8.268405499999062,8.273074400000041,None,,,,,,,,,,,,,642531,250888,Hombre,2024-08-30_13h58.34.900,tarea_iceberg,2023.2.3,60.07510589405334,2024-08-30 13h58.47.580111 +0200,
music_video,9,0.5,0.1,0,0,0,0,,,,,,,,,,,,,0,0,0,1,8.325565099992673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.310175899998285,17.308757999999216,17.308757999999216,17.879526999997324,space,0.564387300008093,None,,,,,,642531,250888,Hombre,2024-08-30_13h58.34.900,tarea_iceberg,2023.2.3,60.07510589405334,2024-08-30 13h58.47.580111 +0200,
music_video,14,0.7,0.1,0,0,0,0,,,,,,,,,,,,,0,1,1,0,17.896804899995914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.88009659999807,31.90806829999201,31.90806829999201,32.2207483999955,space,0.30492249999952037,None,,,,,,642531,250888,Hombre,2024-08-30_13h58.34.900,tarea_iceberg,2023.2.3,60.07510589405334,2024-08-30 13h58.47.580111 +0200,
music_video,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642531,250888,Hombre,2024-08-30_13h58.34.900,tarea_iceberg,2023.2.3,60.07510589405334,2024-08-30 13h58.47.580111 +0200,
control,13,-0.6,0.15,0,1,1,1,0,0,0,0,,,,,,,,,,,,,34.74963079999725,,,,,,,,,,,,,,,32.264749299996765,32.26481110000168,control,32.2648160999961,32.27110620000167,34.26288969999587,34.271082999999635,47.74425839999458,space,,,,,,,,,,,,,,34.74963079999725,47.27297449999605,47.27297449999605,0.43538019999687094,None,642531,250888,Hombre,2024-08-30_13h58.34.900,tarea_iceberg,2023.2.3,60.07510589405334,2024-08-30 13h58.47.580111 +0200,
control,8,-0.7,0.15,0,1,1,1,0,1,1,1,,,,,,,,,,,,,47.776301199992304,,,,,,,,,,,,,,,,,,,,,47.74484790000133,56.177590199993574,space,,,,,,,,,,,,,,,55.75191880000057,55.75191880000057,0.41480240000237245,None,642531,250888,Hombre,2024-08-30_13h58.34.900,tarea_iceberg,2023.2.3,60.07510589405334,2024-08-30 13h58.47.580111 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.18553339999926,,,,,,,,,,,,,,,,,,,,,,,,,,
