timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,trials_15.thisRepN,trials_15.thisTrialN,trials_15.thisN,trials_15.thisIndex,trials_16.thisRepN,trials_16.thisTrialN,trials_16.thisN,trials_16.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,control.stopped,key_resp.keys,music.started,music.stopped,key_resp_2.keys,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,image_4.started,Key_resp_4.started,music_video.stopped,Key_resp_4.keys,Key_resp_4.rt,Key_resp_4.duration,Ronda_2.started,text_8.started,text_8.stopped,Ronda_2.stopped,control2.started,control2.stopped,key_resp_6.keys,music2.started,image_7.started,key_resp_7.started,music2.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,music_words2.started,music_words2.stopped,key_resp_8.keys,music_video2.started,music_video2.stopped,Key_resp.keys,Ronda_3.started,text_9.started,Ronda_3.stopped,control3.started,image_10.started,key_resp_9.started,control3.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,music3.started,music3.stopped,key_resp_10.keys,music_words3.started,music_words3.stopped,key_resp_11.keys,music_video3.started,music_video3.stopped,Key_resp_2.keys,Ronda_4.started,text_10.started,Ronda_4.stopped,control4.started,control4.stopped,key_resp_12.keys,music4.started,music4.stopped,key_resp_13.keys,music_words4.started,image_16.started,key_resp_14.started,music_words4.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.duration,music_video4.started,music_video4.stopped,Key_resp_3.keys,final.started,text_4.started,text_4.stopped,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
11,-0.6,0.15,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.483070800080895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.185014500049874,35.18946430005599,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
11,0.6,0.1,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.483070800080895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.196308200014755,46.199505600030534,46.199505600030534,46.840392200043425,space,0.6264913000632077,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
11,-0.6,0.15,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.85492170008365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.84076590009499,57.84422980004456,57.84422980004456,58.23358170001302,space,0.3738358000991866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
11,-0.6,0.15,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.384310800000094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.26189710001927,58.26663080009166,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
11,0.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.384310800000094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.26684160006698,58.27078970009461,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
14,-0.7,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.384310800000094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.302320200018585,58.30796070001088,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
4,-0.6,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.384310800000094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.30822720006108,58.312380800023675,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
10,0.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.6958191000158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.374977500061505,58.384310800000094,60.380522900028154,60.38806710008066,70.38989750004839,70.38989750004839,70.90816980006639,space,0.5155412000603974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
11,-0.6,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.9241707000183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.90854590001982,81.9186655000085,81.9186655000085,82.30913509998936,space,0.3716501999879256,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
11,-0.6,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,82.47583690006286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.31698900007177,82.322518400033,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
