timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,trials_15.thisRepN,trials_15.thisTrialN,trials_15.thisN,trials_15.thisIndex,trials_16.thisRepN,trials_16.thisTrialN,trials_16.thisN,trials_16.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,image.started,key_resp.started,control.stopped,key_resp.keys,key_resp.rt,key_resp.duration,music.started,music.stopped,key_resp_2.keys,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,music_video.stopped,Key_resp_4.keys,Ronda_2.started,text_8.started,Ronda_2.stopped,control2.started,control2.stopped,key_resp_6.keys,music2.started,image_7.started,key_resp_7.started,music2.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,music_words2.started,music_words2.stopped,key_resp_8.keys,music_video2.started,music_video2.stopped,Key_resp.keys,Ronda_3.started,text_9.started,Ronda_3.stopped,control3.started,control3.stopped,key_resp_9.keys,music3.started,music3.stopped,key_resp_10.keys,music_words3.started,image_12.started,key_resp_11.started,music_words3.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,music_video3.started,music_video3.stopped,Key_resp_2.keys,Ronda_4.started,text_10.started,Ronda_4.stopped,control4.started,control4.stopped,key_resp_12.keys,music4.started,music4.stopped,key_resp_13.keys,music_words4.started,music_words4.stopped,key_resp_14.keys,music_video4.started,image_17.started,Key_resp_3.started,music_video4.stopped,Key_resp_3.keys,Key_resp_3.rt,Key_resp_3.duration,final.started,text_4.started,text_4.stopped,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
5,-0.2,0.05,,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.86540799995419,,,,,,,,,,,,,,,,,,,,,,,94.64599240000825,94.6500037999358,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
4,0.1,0.05,,,,,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.86540799995419,,,,,,,,,,,,,,,,,,,,,,,94.65018999995664,94.65421269997023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
14,-0.7,0.05,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.86540799995419,,,,,,,,,,,,,,,,,,,,,,,94.65438689989969,94.65848479990382,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
13,-0.2,0.05,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.86540799995419,,,,,,,,,,,,,,,,,,,,,,,94.65869429998565,94.66253899992444,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
15,-0.6,0.05,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.86540799995419,,,,,,,,,,,,,,,,,,,,,,,94.66274489997886,94.66670609998982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
14,-0.1,0.05,,,,,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.86540799995419,,,,,,,,,,,,,,,,,,,,,,,94.6668895999901,94.67102209990844,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
14,-0.6,0.05,,,,,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.86540799995419,,,,,,,,,,,,,,,,,,,,,,,94.67120759992395,94.67531819990836,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
5,-0.2,0.05,,,,,,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.86540799995419,,,,,,,,,,,,,,,,,,,,,,,,,,94.7052362000104,94.71000299998559,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
4,-0.7,0.05,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.86540799995419,,,,,,,,,,,,,,,,,,,,,,,,,,94.71028759994078,94.71430719993077,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
15,-0.6,0.05,,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.86540799995419,,,,,,,,,,,,,,,,,,,,,,,,,,94.71447519992944,94.71946960000787,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
14,-0.1,0.05,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.86540799995419,,,,,,,,,,,,,,,,,,,,,,,,,,94.71971199999098,94.72423249995336,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
13,-0.2,0.05,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.86540799995419,,,,,,,,,,,,,,,,,,,,,,,,,,94.72443880001083,94.72907529992517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
14,-0.7,0.05,,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.86540799995419,,,,,,,,,,,,,,,,,,,,,,,,,,94.72928480000701,94.73362610000186,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
14,-0.6,0.05,,,,,,,,,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.86540799995419,,,,,,,,,,,,,,,,,,,,,,,,,,94.73382500000298,94.7382387999678,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
4,0.1,0.05,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.86540799995419,,,,,,,,,,,,,,,,,,,,,,,,,,94.73843099991791,94.74269029998686,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
5,-0.2,0.05,,,,,,,,,,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.86540799995419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.7777850999264,94.78331520000938,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
4,-0.7,0.05,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.86540799995419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.78356109990273,94.78775139991194,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
4,0.1,0.05,,,,,,,,,,,,,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.86540799995419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.78794519999065,94.79200929997023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
15,-0.6,0.05,,,,,,,,,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.86540799995419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.79219209996518,94.79620629991405,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
14,-0.7,0.05,,,,,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.86540799995419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.79637269990053,94.80032999999821,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
13,-0.2,0.05,,,,,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.86540799995419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.80051799991634,94.80470879992936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
14,-0.6,0.05,,,,,,,,,,,,,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.86540799995419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.8048902999144,94.80893459997606,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
14,-0.1,0.05,,,,,,,,,,,,,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.86540799995419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.80911419994663,94.81311669992283,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
8,-0.1,0.05,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.49583179992624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.8544464999577,94.86540799995419,96.85986480000429,96.87290670000948,96.87800859997515,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
3,-0.2,0.05,,,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.49583179992624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.87825760000851,96.88200420001522,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
10,-0.6,0.05,,,,,,,,,,,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.49583179992624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.88217839994468,96.88580659998115,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
8,0,0.05,,,,,,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.49583179992624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.88597539998591,96.88964850001503,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
13,-0.5,0.05,,,,,,,,,,,,,,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.49583179992624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.88984429999255,96.8935692999512,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
5,-0.7,0.05,,,,,,,,,,,,,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.49583179992624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.89373339992017,96.89725259994157,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
7,-0.4,0.05,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.49583179992624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.89743999997154,96.90095749998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
