timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,trials_15.thisRepN,trials_15.thisTrialN,trials_15.thisN,trials_15.thisIndex,trials_16.thisRepN,trials_16.thisTrialN,trials_16.thisN,trials_16.thisIndex,thisRow.t,notes,ronda1,ronda2,ronda3,ronda4,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,control.stopped,resp_control_r1.keys,music.started,music.stopped,resp_music_r1.keys,music_words.started,music_words.stopped,resp_musicw_r1.keys,music_video.started,image_4.started,resp_musicv_r1.started,music_video.stopped,resp_musicv_r1.keys,resp_musicv_r1.rt,resp_musicv_r1.duration,Ronda_2.started,text_8.started,Ronda_2.stopped,control2.started,image_6.started,resp_control_r2.started,control2.stopped,resp_control_r2.keys,resp_control_r2.rt,resp_control_r2.duration,music2.started,music2.stopped,resp_music_r2.keys,music_words2.started,music_words2.stopped,resp_musicw_r2.keys,music_video2.started,music_video2.stopped,resp_musicv_r2.keys,Ronda_3.started,text_9.started,Ronda_3.stopped,control3.started,control3.stopped,resp_control_r3.keys,music3.started,music3.stopped,resp_music_r3.keys,music_words3.started,image_12.started,resp_musicw_r3.started,music_words3.stopped,resp_musicw_r3.keys,resp_musicw_r3.rt,resp_musicw_r3.duration,music_video3.started,music_video3.stopped,resp_musicv_r3.keys,Ronda_4.started,text_10.started,Ronda_4.stopped,control4.started,control4.stopped,resp_control_r4.keys,music4.started,image_15.started,resp_music_r4.started,music4.stopped,resp_music_r4.keys,resp_music_r4.rt,resp_music_r4.duration,music_words4.started,music_words4.stopped,resp_musicw_r4.keys,music_video4.started,music_video4.stopped,resp_musicv_r4.keys,final.started,text_4.started,text_4.stopped,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
4,0.6,0.05,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.907098500058055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.882862800033763,14.878074700012803,14.878074700012803,15.565153499948792,space,0.6828201999887824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,30,Hombre,2024-09-18_17h50.00.489,tarea_iceberg,2023.2.3,59.96458488384676,2024-09-18 17h50.42.429826 +0200,
9,0.2,0.05,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.580993999959901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.565528400009498,24.571669799974188,24.571669799974188,24.983012399985455,space,0.38759349996689707,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,30,Hombre,2024-09-18_17h50.00.489,tarea_iceberg,2023.2.3,59.96458488384676,2024-09-18 17h50.42.429826 +0200,
4,0,0.05,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.999076399952173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.983334699994884,28.99817349994555,28.99817349994555,29.354968199972063,space,0.35339469998143613,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,30,Hombre,2024-09-18_17h50.00.489,tarea_iceberg,2023.2.3,59.96458488384676,2024-09-18 17h50.42.429826 +0200,
7,0.7,0.05,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.986605299985968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4099260000512,29.419475200003944,31.412653799983673,31.42653399996925,38.418944300035946,38.418944300035946,38.76033720001578,space,0.3246995999943465,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,30,Hombre,2024-09-18_17h50.00.489,tarea_iceberg,2023.2.3,59.96458488384676,2024-09-18 17h50.42.429826 +0200,
10,-0.5,0.05,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.77635629998986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.76094419998117,48.763424000004306,48.763424000004306,49.06533669994678,space,0.2844260000856593,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,30,Hombre,2024-09-18_17h50.00.489,tarea_iceberg,2023.2.3,59.96458488384676,2024-09-18 17h50.42.429826 +0200,
8,-0.6,0.05,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.08045550005045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.06560630002059,57.07214860001113,57.07214860001113,57.395995900034904,space,0.3128268999280408,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,30,Hombre,2024-09-18_17h50.00.489,tarea_iceberg,2023.2.3,59.96458488384676,2024-09-18 17h50.42.429826 +0200,
7,0.7,0.05,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.58180619997438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41001800005324,57.4146599000087,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,30,Hombre,2024-09-18_17h50.00.489,tarea_iceberg,2023.2.3,59.96458488384676,2024-09-18 17h50.42.429826 +0200,
10,-0.5,0.05,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.58180619997438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41487129998859,57.41910880000796,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,30,Hombre,2024-09-18_17h50.00.489,tarea_iceberg,2023.2.3,59.96458488384676,2024-09-18 17h50.42.429826 +0200,
8,-0.6,0.05,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.58180619997438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41929880005773,57.42323509999551,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,30,Hombre,2024-09-18_17h50.00.489,tarea_iceberg,2023.2.3,59.96458488384676,2024-09-18 17h50.42.429826 +0200,
7,0.7,0.05,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.58180619997438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.46415619994514,57.469059200026095,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,30,Hombre,2024-09-18_17h50.00.489,tarea_iceberg,2023.2.3,59.96458488384676,2024-09-18 17h50.42.429826 +0200,
10,-0.5,0.05,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.58180619997438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.46928429999389,57.47334090003278,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,30,Hombre,2024-09-18_17h50.00.489,tarea_iceberg,2023.2.3,59.96458488384676,2024-09-18 17h50.42.429826 +0200,
8,-0.6,0.05,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.58180619997438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.47352730005514,57.477654900052585,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,30,Hombre,2024-09-18_17h50.00.489,tarea_iceberg,2023.2.3,59.96458488384676,2024-09-18 17h50.42.429826 +0200,
7,0.7,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.58180619997438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.51487559999805,57.52099570003338,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,30,Hombre,2024-09-18_17h50.00.489,tarea_iceberg,2023.2.3,59.96458488384676,2024-09-18 17h50.42.429826 +0200,
