routineName,timepresentation,posx,posy,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,random_routines.started,random_routines.stopped,executedRoutine,nueva_ronda.started,text_7.started,nueva_ronda.stopped,control.started,image.started,key_resp.started,control.stopped,key_resp.keys,key_resp.rt,key_resp.duration,music.started,music.stopped,key_resp_2.keys,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,music_video.stopped,Key_resp_4.keys,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0019392999965930358,0.013410200001089834,0.013410200001089834,3.0099289000063436,3.0099443000071915,3.026036600000225,6.0081175999948755,6.6580074000085006,space,0.6467505000036908,None,,,,,,,,,,,,,,,,,,,,,,,896799,881303,Hombre,2024-08-30_12h50.21.239,tarea_iceberg,2023.2.3,60.039109471413845,2024-08-30 12h50.35.045434 +0200,
control,15,-0.7,0.15,0,0,0,0,0,0,0,1,,,,,,,,,,,,,8.693459300004179,,,,,,,,,,,,,6.663249899997027,6.663260800007265,control,6.663268100004643,6.673552199994447,8.672516000005999,8.68065170000773,23.66590449999785,23.66590449999785,24.090858800002025,space,0.4042631999909645,None,,,,,,,,,,896799,881303,Hombre,2024-08-30_12h50.21.239,tarea_iceberg,2023.2.3,60.039109471413845,2024-08-30 12h50.35.045434 +0200,
control,11,-0.8,0.15,0,0,0,0,0,1,1,0,,,,,,,,,,,,,24.123929000008502,,,,,,,,,,,,,,,,,,,24.091233200000715,35.09223330000532,35.09223330000532,35.47472949999792,space,0.3651615000126185,None,,,,,,,,,,896799,881303,Hombre,2024-08-30_12h50.21.239,tarea_iceberg,2023.2.3,60.039109471413845,2024-08-30 12h50.35.045434 +0200,
control,15,-0.7,0.15,0,0,0,0,,,,,0,0,0,1,,,,,,,,,35.62846599999466,,,,,,,,,,,,,,,,,,,,,,,,,,35.48341519999667,35.48905889999878,None,,,,,,,896799,881303,Hombre,2024-08-30_12h50.21.239,tarea_iceberg,2023.2.3,60.039109471413845,2024-08-30 12h50.35.045434 +0200,
control,11,-0.8,0.15,0,0,0,0,,,,,0,1,1,0,,,,,,,,,35.62846599999466,,,,,,,,,,,,,,,,,,,,,,,,,,35.48927299999923,35.49409039999591,None,,,,,,,896799,881303,Hombre,2024-08-30_12h50.21.239,tarea_iceberg,2023.2.3,60.039109471413845,2024-08-30 12h50.35.045434 +0200,
control,11,-0.8,0.15,0,0,0,0,,,,,,,,,0,0,0,0,,,,,35.62846599999466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.52581380000629,35.532918199998676,None,,,,896799,881303,Hombre,2024-08-30_12h50.21.239,tarea_iceberg,2023.2.3,60.039109471413845,2024-08-30 12h50.35.045434 +0200,
control,15,-0.7,0.15,0,0,0,0,,,,,,,,,0,1,1,1,,,,,35.62846599999466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.533170800001244,35.53778590000002,None,,,,896799,881303,Hombre,2024-08-30_12h50.21.239,tarea_iceberg,2023.2.3,60.039109471413845,2024-08-30 12h50.35.045434 +0200,
control,13,0.6,0.1,0,0,0,0,,,,,,,,,,,,,0,0,0,1,35.62846599999466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.566507499999716,35.57218250000733,None,896799,881303,Hombre,2024-08-30_12h50.21.239,tarea_iceberg,2023.2.3,60.039109471413845,2024-08-30 12h50.35.045434 +0200,
control,10,0.6,0.1,0,0,0,0,,,,,,,,,,,,,0,1,1,0,35.62846599999466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.572428300001775,35.57640299999912,None,896799,881303,Hombre,2024-08-30_12h50.21.239,tarea_iceberg,2023.2.3,60.039109471413845,2024-08-30 12h50.35.045434 +0200,
control,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896799,881303,Hombre,2024-08-30_12h50.21.239,tarea_iceberg,2023.2.3,60.039109471413845,2024-08-30 12h50.35.045434 +0200,
music,13,-0.5,0.15,0,1,1,1,0,0,0,0,,,,,,,,,,,,,35.62846599999466,,,,,,,,,,,,,35.61895230000664,35.61896780000825,music,35.61897330000647,35.62846599999466,37.62104640000325,37.62971850000031,,,37.63552009999694,None,,,,,,,,,,,,896799,881303,Hombre,2024-08-30_12h50.21.239,tarea_iceberg,2023.2.3,60.039109471413845,2024-08-30 12h50.35.045434 +0200,
music,9,0.6,0.1,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.63577809999697,,,37.63973249999981,None,,,,,,,,,,,,896799,881303,Hombre,2024-08-30_12h50.21.239,tarea_iceberg,2023.2.3,60.039109471413845,2024-08-30 12h50.35.045434 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.64716029999545,,,,,,,,,,,,,,,,,
