timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,movie.started,image.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
3,-0.8,0.15,0,0,0,0,0.08893259999967995,,0.022676399999909336,0.08893259999967995,3.0145454999997128,3.0145454999997128,4.176856499999758,space,1.1547175000000607,None,433963,001,2024-08-29_10h10.05.303,tarea_iceberg,2023.2.3,59.90570841496136,2024-08-29 10h10.12.280136 +0200,
3,-0.7,0.15,0,1,1,1,4.347206599999936,,4.291467699999885,4.347206599999936,7.290973099999974,7.290973099999974,7.808331199999884,space,0.5121902000000773,None,433963,001,2024-08-29_10h10.05.303,tarea_iceberg,2023.2.3,59.90570841496136,2024-08-29 10h10.12.280136 +0200,
3,-0.6,0.15,0,2,2,2,7.9681101999999555,,7.9141764999999396,7.9681101999999555,10.922364899999593,10.922364899999593,14.787408299999697,space,3.8592696999999134,None,433963,001,2024-08-29_10h10.05.303,tarea_iceberg,2023.2.3,59.90570841496136,2024-08-29 10h10.12.280136 +0200,
3,-0.5,0.15,0,3,3,3,14.954246899999816,,14.89994919999981,14.954246899999816,17.901094699999703,17.901094699999703,21.01770409999972,space,3.103567600000133,None,433963,001,2024-08-29_10h10.05.303,tarea_iceberg,2023.2.3,59.90570841496136,2024-08-29 10h10.12.280136 +0200,
3,-0.45,0.15,0,4,4,4,21.17976899999985,,21.125637899999674,21.17976899999985,24.13059639999983,24.13059639999983,29.195023099999617,space,5.058356999999887,None,433963,001,2024-08-29_10h10.05.303,tarea_iceberg,2023.2.3,59.90570841496136,2024-08-29 10h10.12.280136 +0200,
3,0.45,0.1,0,5,5,5,29.364595499999723,,29.309741699999904,29.364595499999723,32.325313299999834,32.325313299999834,42.55315449999989,space,10.225981600000068,None,433963,001,2024-08-29_10h10.05.303,tarea_iceberg,2023.2.3,59.90570841496136,2024-08-29 10h10.12.280136 +0200,
3,0.5,0.1,0,6,6,6,42.74926779999987,,42.69289170000002,42.74926779999987,45.700880799999595,45.700880799999595,58.760106399999586,space,13.05662510000002,None,433963,001,2024-08-29_10h10.05.303,tarea_iceberg,2023.2.3,59.90570841496136,2024-08-29 10h10.12.280136 +0200,
3,0.6,0.1,0,7,7,7,58.93266889999995,,58.87642399999959,58.93266889999995,61.8899336999998,61.8899336999998,72.50121199999967,space,10.601968899999974,None,433963,001,2024-08-29_10h10.05.303,tarea_iceberg,2023.2.3,59.90570841496136,2024-08-29 10h10.12.280136 +0200,
3,0.7,0.1,0,8,8,8,72.67695109999977,,72.61973629999966,72.67695109999977,75.63089109999964,75.63089109999964,77.06511509999973,space,1.4188325000000077,None,433963,001,2024-08-29_10h10.05.303,tarea_iceberg,2023.2.3,59.90570841496136,2024-08-29 10h10.12.280136 +0200,
3,0.8,0.1,0,9,9,9,77.26141129999996,,77.20476569999983,77.26141129999996,80.21156249999967,80.21156249999967,82.32765029999973,space,2.107599400000254,None,433963,001,2024-08-29_10h10.05.303,tarea_iceberg,2023.2.3,59.90570841496136,2024-08-29 10h10.12.280136 +0200,
3,0.85,0.1,0,10,10,10,82.52913169999965,,82.47236989999965,82.52913169999965,85.47481549999975,85.47481549999975,90.87306330000001,space,5.396227600000202,None,433963,001,2024-08-29_10h10.05.303,tarea_iceberg,2023.2.3,59.90570841496136,2024-08-29 10h10.12.280136 +0200,
