time,event
3.6400044336915016e-05,start_relax1
4.095910000032745,start_trial1
7.044165400031488,keypress_trial1
9.726764400023967,estimatedtimeclick_trial1
11.2446405000519,start_relax2
16.094741200038698,start_trial2
18.586768200038932,keypress_trial2
21.170680100040045,estimatedtimeclick_trial2
22.686710900045,start_relax3
25.772310800035484,start_trial3
27.513964500045404,keypress_trial3
30.01562650001142,estimatedtimeclick_trial3
31.531029900012072,start_relax4
34.71113609999884,start_trial4
36.55829270003596,keypress_trial4
38.62378850003006,estimatedtimeclick_trial4
40.141327600053046,start_relax5
45.70046770002227,start_trial5
49.55011370003922,keypress_trial5
51.83155020000413,estimatedtimeclick_trial5
53.34889830002794,start_relax6
58.7965604000492,start_trial6
