texto,answer,color,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instrucciones_texto.started,Instrucciones_texto.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,colores1.started,colores1.stopped,respuesta.keys,respuesta.corr,respuesta.rt,respuesta.started,respuesta.stopped,text_intructionses2.started,text_intructionses2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,rectangulo.started,rectangulo.stopped,respuesta_rect.keys,respuesta_rect.corr,respuesta_rect.rt,respuesta_rect.started,respuesta_rect.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,colores2.started,colores2.stopped,respuesta_mix.keys,respuesta_mix.corr,respuesta_mix.rt,respuesta_mix.started,respuesta_mix.stopped,despedida.started,despedida.stopped,participant,session,date,expName,psychopyVersion,frameRate,
lila,l,,0,27,27,34,,,,,,,,,,,,,,,33.666829800000414,None,['l'],0,[0.5358964998740703],33.633444499922916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
azul,a,,0,28,28,6,,,,,,,,,,,,,,,34.25011969986372,None,['a'],0,[0.35272089997306466],34.208685899851844,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
lila,l,,0,29,29,27,,,,,,,,,,,,,,,34.61634339997545,None,['l'],0,[0.903294499963522],34.58334619994275,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
azul,a,,0,30,30,1,,,,,,,,,,,,,,,35.549545999849215,None,['a'],0,[0.4890755000524223],35.516411599935964,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
azul,a,,0,31,31,0,,,,,,,,,,,,,,,36.06606539990753,None,['a'],0,[0.5598822000902146],36.032723099924624,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
naranja,n,,0,32,32,13,,,,,,,,,,,,,,,36.66545520001091,None,['n'],0,[0.8073104999493808],36.62764859991148,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
lila,l,,0,33,33,33,,,,,,,,,,,,,,,37.515657800016925,None,['l'],0,[0.7424183001276106],37.47412439994514,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
azul,a,,0,34,34,3,,,,,,,,,,,,,,,38.28160939994268,None,['a'],0,[0.49378350004553795],38.23160389997065,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.748537599807605,None,space,1.1023870001081377,43.73069110000506,None,,,,,,,,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
,n,"[1, 0.1, -1]",,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,44.913801699876785,None,['n'],0,[1.10389140015468],44.867681599920616,None,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
,l,"[0.004, -1, 0.004]",,,,,0,1,1,31,,,,,,,,,,,,,,,,,,,,,,,,46.029774099821225,None,['l'],0,[0.5663825999945402],45.99590879981406,None,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
,a,"[-1, -1, 1]",,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,46.613213300006464,None,['a'],0,[0.569467999972403],46.579162599984556,None,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
,n,"[1, 0.1, -1]",,,,,0,3,3,13,,,,,,,,,,,,,,,,,,,,,,,,47.22966149984859,None,['n'],0,[0.7771457000635564],47.17902779998258,None,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
,v,"[-1, 0.04, -1]",,,,,0,4,4,24,,,,,,,,,,,,,,,,,,,,,,,,48.01267490000464,None,['v'],0,[0.4699810000602156],47.97862079995684,None,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
,a,"[-1, -1, 1]",,,,,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,48.51221999991685,None,['a'],0,[0.6824060999788344],48.478886999888346,None,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
,a,"[-1, -1, 1]",,,,,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,49.229043199913576,None,['a'],0,[0.46624370012432337],49.178366099949926,None,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
,l,"[0.004, -1, 0.004]",,,,,0,7,7,26,,,,,,,,,,,,,,,,,,,,,,,,49.71180419996381,None,['l'],0,[0.7573685999959707],49.666360300034285,None,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
,n,"[1, 0.1, -1]",,,,,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,50.49502729997039,None,['n'],0,[0.9077862000558525],50.444573199842125,None,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
,v,"[-1, 0.04, -1]",,,,,0,9,9,20,,,,,,,,,,,,,,,,,,,,,,,,51.411165999947116,None,['v'],0,[1.1158433000091463],51.37764759990387,None,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
,v,"[-1, 0.04, -1]",,,,,0,10,10,17,,,,,,,,,,,,,,,,,,,,,,,,52.54463539994322,None,['v'],0,[0.3569171999115497],52.51067789993249,None,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
,n,"[1, 0.1, -1]",,,,,0,11,11,16,,,,,,,,,,,,,,,,,,,,,,,,52.94405849999748,None,['n'],0,[0.5042695000302047],52.89341599983163,None,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
,v,"[-1, 0.04, -1]",,,,,0,12,12,25,,,,,,,,,,,,,,,,,,,,,,,,53.460891499882564,None,['v'],0,[0.6611160000320524],53.42713969992474,None,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
,a,"[-1, -1, 1]",,,,,0,13,13,5,,,,,,,,,,,,,,,,,,,,,,,,54.1438847000245,None,['a'],0,[0.4999800000805408],54.11049839993939,None,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
,v,"[-1, 0.04, -1]",,,,,0,14,14,22,,,,,,,,,,,,,,,,,,,,,,,,54.66069189994596,None,['v'],0,[0.5330578000284731],54.62630599993281,None,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
,v,"[-1, 0.04, -1]",,,,,0,15,15,21,,,,,,,,,,,,,,,,,,,,,,,,55.21017559990287,None,['v'],0,[0.4041873998939991],55.176429299870506,None,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
,a,"[-1, -1, 1]",,,,,0,16,16,1,,,,,,,,,,,,,,,,,,,,,,,,55.64341859985143,None,['a'],0,[0.5836497000418603],55.60970489983447,None,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
,v,"[-1, 0.04, -1]",,,,,0,17,17,18,,,,,,,,,,,,,,,,,,,,,,,,56.24325259984471,None,['v'],0,[0.4941446001175791],56.209612499922514,None,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
,a,"[-1, -1, 1]",,,,,0,18,18,2,,,,,,,,,,,,,,,,,,,,,,,,56.77676199981943,None,['a'],0,[0.6948325000703335],56.72582389996387,None,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
,l,"[0.004, -1, 0.004]",,,,,0,19,19,34,,,,,,,,,,,,,,,,,,,,,,,,57.49221699987538,None,['l'],0,[0.5529118000995368],57.44620199990459,None,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
