repeat.thisRepN,repeat.thisTrialN,repeat.thisN,repeat.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,monkey_sound.started,monkey_sound.stopped,Bienvenida.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,11.481620000000476,None,11.410646700007419,None,14.42390929999965,None,space,1.1957394999990356,14.42390929999965,None,lolo,2022_Oct_13_1839,BananaMonkey,3.2.3,60.069440273080836,
0,0,0,0,0,0,0,0,,,,,,,,,,,lolo,2022_Oct_13_1839,BananaMonkey,3.2.3,60.069440273080836,
