trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,Bienvenida.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Participant,date,expName,psychopyVersion,frameRate,
,,,,9.491777399962302,None,10.45427099999506,None,space,0.7358259999891743,10.45427099999506,None,kiki,2022_Oct_12_1228,BananaMonkey,3.2.3,59.85267860993482,
0,0,0,0,,,,,,,,,kiki,2022_Oct_12_1228,BananaMonkey,3.2.3,59.85267860993482,
1,0,1,0,,,,,,,,,kiki,2022_Oct_12_1228,BananaMonkey,3.2.3,59.85267860993482,
2,0,2,0,,,,,,,,,kiki,2022_Oct_12_1228,BananaMonkey,3.2.3,59.85267860993482,
3,0,3,0,,,,,,,,,kiki,2022_Oct_12_1228,BananaMonkey,3.2.3,59.85267860993482,
4,0,4,0,,,,,,,,,kiki,2022_Oct_12_1228,BananaMonkey,3.2.3,59.85267860993482,
