repeat.thisRepN,repeat.thisTrialN,repeat.thisN,repeat.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,monkey_sound.started,monkey_sound.stopped,Bienvenida.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,logo_OB_intro.started,logo_OB_intro.stopped,feedback_text.started,feedback_text.stopped,level_up_sound.started,level_up_sound.stopped,velo.started,velo.stopped,text.started,text.stopped,si.keys,si.started,si.stopped,no.keys,no.rt,no.started,no.stopped,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,11.557443800003966,None,11.470788549573626,14.47625059998245,14.521448499988765,None,space,12.70863810001174,14.521448499988765,None,,,,,,,,,,,,,,,,,,hh,2022_Oct_15_1248,BananaMonkey,3.2.3,59.88095665794718,
0,0,0,0,0,0,0,0,,,,,,,,,,,14.521448499988765,None,,,,,,,,,,,,,,,,hh,2022_Oct_15_1248,BananaMonkey,3.2.3,59.88095665794718,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,hh,2022_Oct_15_1248,BananaMonkey,3.2.3,59.88095665794718,
0,0,0,0,,,,,,,,,,,,,,,,,32.37843909999356,None,32.343710829975315,None,32.37843909999356,None,35.34658679997665,None,None,35.34658679997665,None,n,1.4814929999993183,35.34658679997665,None,hh,2022_Oct_15_1248,BananaMonkey,3.2.3,59.88095665794718,
