repeat.thisRepN,repeat.thisTrialN,repeat.thisN,repeat.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,Bienvenida.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,text.started,text.stopped,si.keys,si.rt,si.started,si.stopped,no.keys,no.started,no.stopped,Adios.started,Adios.stopped,Participant,date,expName,psychopyVersion,frameRate,
1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
1,0,1,0,,,,,,,,,,,,,51.09225379995769,None,56.09003479999956,None,s,1.5518125999951735,56.09003479999956,None,None,56.09003479999956,None,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
2,0,2,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
2,0,2,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
2,0,2,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
2,0,2,0,,,,,,,,,,,,,67.8608874999918,None,72.84021479997318,None,s,1.4014944999944419,72.84021479997318,None,None,72.84021479997318,None,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
3,0,3,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
3,0,3,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
3,0,3,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
3,0,3,0,,,,,,,,,,,,,84.43465459998697,None,89.4394662999548,None,s,0.5060388999991119,89.4394662999548,None,None,89.4394662999548,None,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
4,0,4,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
4,0,4,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
4,0,4,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
4,0,4,0,,,,,,,,,,,,,100.15049549995456,None,105.15533649997087,None,s,1.3020227000233717,105.15533649997087,None,None,105.15533649997087,None,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
,,,,,,,,,,,,,,,,,,,,,,,,,,,106.47318309999537,None,,,,,,
