texto,answer,color,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instrucciones_texto.started,Instrucciones_texto.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,colores1.started,colores1.stopped,respuesta.keys,respuesta.corr,respuesta.rt,respuesta.started,respuesta.stopped,text_intructionses2.started,text_intructionses2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,rectangulo.started,rectangulo.stopped,respuesta_rect.keys,respuesta_rect.corr,respuesta_rect.rt,respuesta_rect.started,respuesta_rect.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,colores2.started,colores2.stopped,respuesta_mix.keys,respuesta_mix.corr,respuesta_mix.rt,respuesta_mix.started,respuesta_mix.stopped,despedida.started,despedida.stopped,participant,session,date,expName,psychopyVersion,frameRate,
lila,l,,0,19,19,34,,,,,,,,,,,,,,,47.6961095998995,None,['l'],0,[0.7162941000424325],47.654306899989024,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esterix,001,2023_Mar_09_1934,stroop_task,3.2.3,61.95878993859027,
lila,l,,0,20,20,26,,,,,,,,,,,,,,,48.430879099993035,None,['l'],0,[0.5311326999217272],48.39942379994318,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esterix,001,2023_Mar_09_1934,stroop_task,3.2.3,61.95878993859027,
lila,l,,0,21,21,31,,,,,,,,,,,,,,,48.97990639996715,None,['l'],0,[0.5901919999159873],48.948130399920046,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esterix,001,2023_Mar_09_1934,stroop_task,3.2.3,61.95878993859027,
azul,a,,0,22,22,3,,,,,,,,,,,,,,,49.61262380005792,None,['a'],0,[0.7005736001301557],49.5743788999971,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esterix,001,2023_Mar_09_1934,stroop_task,3.2.3,61.95878993859027,
naranja,n,,0,23,23,10,,,,,,,,,,,,,,,50.34538020007312,None,['n'],0,[0.6196471999865025],50.30250860005617,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esterix,001,2023_Mar_09_1934,stroop_task,3.2.3,61.95878993859027,
naranja,n,,0,24,24,14,,,,,,,,,,,,,,,50.97918939986266,None,['n'],0,[0.5823291998822242],50.94756149989553,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esterix,001,2023_Mar_09_1934,stroop_task,3.2.3,61.95878993859027,
lila,l,,0,25,25,30,,,,,,,,,,,,,,,51.594870700035244,None,['l'],0,[0.7339937000069767],51.564160000067204,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esterix,001,2023_Mar_09_1934,stroop_task,3.2.3,61.95878993859027,
naranja,n,,0,26,26,13,,,,,,,,,,,,,,,52.37828750000335,None,['n'],0,[0.6805780997965485],52.33054309990257,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esterix,001,2023_Mar_09_1934,stroop_task,3.2.3,61.95878993859027,
lila,l,,0,27,27,27,,,,,,,,,,,,,,,53.0781113000121,None,['l'],0,[0.6839189999736845],53.03023219993338,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esterix,001,2023_Mar_09_1934,stroop_task,3.2.3,61.95878993859027,
azul,a,,0,28,28,4,,,,,,,,,,,,,,,53.7944801999256,None,['a'],0,[0.6801136001013219],53.7465482999105,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esterix,001,2023_Mar_09_1934,stroop_task,3.2.3,61.95878993859027,
azul,a,,0,29,29,2,,,,,,,,,,,,,,,54.47786720003933,None,['a'],0,[0.572337499819696],54.44570969999768,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esterix,001,2023_Mar_09_1934,stroop_task,3.2.3,61.95878993859027,
verde,v,,0,30,30,22,,,,,,,,,,,,,,,55.093673299998045,None,['v'],0,[0.6628548998851329],55.05119999987073,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esterix,001,2023_Mar_09_1934,stroop_task,3.2.3,61.95878993859027,
verde,v,,0,31,31,21,,,,,,,,,,,,,,,55.777355700032786,None,['v'],0,[0.593058800091967],55.74505849997513,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esterix,001,2023_Mar_09_1934,stroop_task,3.2.3,61.95878993859027,
verde,v,,0,32,32,24,,,,,,,,,,,,,,,56.393674900056794,None,['v'],0,[0.6072823000140488],56.362526499899104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esterix,001,2023_Mar_09_1934,stroop_task,3.2.3,61.95878993859027,
