imagen1,imagen2,hm1,cp1,ai1,pa1,vr1,cl1,hm2,cp2,ai2,pa2,vr2,cl2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Portada.started,image_11.started,text_19.started,Portada.stopped,Instruccions.started,text_8.started,key_resp_3.started,Instruccions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instructions_2.started,image_3.started,image_4.started,key_resp_4.started,text_9.started,text_10.started,instructions_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,instructions_3.started,text_11.started,text_12.started,text_13.started,text_14.started,text_15.started,text_16.started,text_17.started,image_5.started,key_resp_5.started,text_18.started,image_6.started,image_7.started,image_8.started,image_9.started,image_10.started,instructions_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trial.started,image.started,image_2.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,results.started,text.started,text_2.started,text_3.started,text_4.started,text_5.started,text_6.started,text_7.started,key_resp_2.started,results.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.003489400027319789,0.03771010000491515,0.03771010000491515,5.0116615000297315,5.011671000043862,5.027686400047969,5.027686400047969,16.838286700018216,space,11.798287299985532,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495135,001,2025-07-07_11h32.12.369,untitled,2023.2.3,59.6603891844342,2025-07-07 11h32.20.152645 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.838311500032432,16.854191799997352,16.854191799997352,16.854191799997352,16.854191799997352,16.854191799997352,23.083868200017605,right,6.219235899974592,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495135,001,2025-07-07_11h32.12.369,untitled,2023.2.3,59.6603891844342,2025-07-07 11h32.20.152645 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0838915000204,23.099805300007574,23.099805300007574,23.099805300007574,23.099805300007574,23.099805300007574,23.099805300007574,23.099805300007574,23.099805300007574,23.099805300007574,23.099805300007574,23.099805300007574,23.099805300007574,23.099805300007574,23.099805300007574,23.099805300007574,28.9137523000245,space,5.797431700048037,None,,,,,,,,,,,,,,,,,,,,,,495135,001,2025-07-07_11h32.12.369,untitled,2023.2.3,59.6603891844342,2025-07-07 11h32.20.152645 +0200,
pngs\45.png,pngs\46.png,0,1,1,1,-1,0,0,-1,-1,-1,1,0,0,0,0,22,29.08723500004271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.924321200000122,29.08723500004271,29.08723500004271,29.08723500004271,31.8947887000395,right,2.803174000000581,None,,,,,,,,,,,,,,495135,001,2025-07-07_11h32.12.369,untitled,2023.2.3,59.6603891844342,2025-07-07 11h32.20.152645 +0200,
pngs\75.png,pngs\76.png,0,-1,1,0,-1,1,0,1,-1,0,1,-1,0,1,1,37,32.0672078000498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.897881100012455,32.0672078000498,32.0672078000498,32.0672078000498,32.427529100037646,left,0.35863659996539354,None,,,,,,,,,,,,,,495135,001,2025-07-07_11h32.12.369,untitled,2023.2.3,59.6603891844342,2025-07-07 11h32.20.152645 +0200,
pngs\47.png,pngs\48.png,0,1,1,1,1,0,0,-1,-1,-1,-1,0,0,2,2,23,32.58058540005004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.427885700017214,32.58058540005004,32.58058540005004,32.58058540005004,32.861011900007725,right,0.26992109999991953,None,,,,,,,,,,,,,,495135,001,2025-07-07_11h32.12.369,untitled,2023.2.3,59.6603891844342,2025-07-07 11h32.20.152645 +0200,
pngs\59.png,pngs\60.png,0,-1,1,0,-1,0,0,1,-1,0,1,0,0,3,3,29,33.01451130001806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.86133310000878,33.01451130001806,33.01451130001806,33.01451130001806,33.211812200024724,right,0.19575660000555217,None,,,,,,,,,,,,,,495135,001,2025-07-07_11h32.12.369,untitled,2023.2.3,59.6603891844342,2025-07-07 11h32.20.152645 +0200,
pngs\69.png,pngs\70.png,0,1,1,0,-1,1,0,-1,-1,0,1,-1,0,4,4,34,33.37294060003478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.21213580004405,33.37294060003478,33.37294060003478,33.37294060003478,33.593848999997135,left,0.20448999997461215,None,,,,,,,,,,,,,,495135,001,2025-07-07_11h32.12.369,untitled,2023.2.3,59.6603891844342,2025-07-07 11h32.20.152645 +0200,
pngs\19.png,pngs\20.png,-1,-1,1,0,-1,0,1,1,-1,0,1,0,0,5,5,9,33.75522800005274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.594163300003856,33.75522800005274,33.75522800005274,33.75522800005274,33.910587800026406,left,0.14196859998628497,None,,,,,,,,,,,,,,495135,001,2025-07-07_11h32.12.369,untitled,2023.2.3,59.6603891844342,2025-07-07 11h32.20.152645 +0200,
pngs\33.png,pngs\34.png,0,-1,1,0,1,0,0,1,-1,0,-1,0,0,6,6,16,34.07692820002558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.910904100048356,34.07692820002558,34.07692820002558,34.07692820002558,34.226739200006705,right,0.1406349999597296,None,,,,,,,,,,,,,,495135,001,2025-07-07_11h32.12.369,untitled,2023.2.3,59.6603891844342,2025-07-07 11h32.20.152645 +0200,
pngs\11.png,pngs\12.png,0,-1,1,0,-1,0,0,1,-1,0,1,0,0,7,7,5,34.39095890003955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.22705600003246,34.39095890003955,34.39095890003955,34.39095890003955,34.54358030000003,left,0.14674719999311492,None,,,,,,,,,,,,,,495135,001,2025-07-07_11h32.12.369,untitled,2023.2.3,59.6603891844342,2025-07-07 11h32.20.152645 +0200,
pngs\23.png,pngs\24.png,1,1,1,0,1,0,-1,-1,-1,0,-1,0,0,8,8,11,34.69597870000871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.54391659999965,34.69597870000871,34.69597870000871,34.69597870000871,34.842880000011064,right,0.14603560004616156,None,,,,,,,,,,,,,,495135,001,2025-07-07_11h32.12.369,untitled,2023.2.3,59.6603891844342,2025-07-07 11h32.20.152645 +0200,
pngs\21.png,pngs\22.png,1,1,1,0,-1,0,-1,-1,-1,0,1,0,0,9,9,10,35.01213360001566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.843221899995115,35.01213360001566,35.01213360001566,35.01213360001566,35.17589960002806,left,0.1583358000498265,None,,,,,,,,,,,,,,495135,001,2025-07-07_11h32.12.369,untitled,2023.2.3,59.6603891844342,2025-07-07 11h32.20.152645 +0200,
pngs\57.png,pngs\58.png,0,-1,1,0,1,0,0,1,-1,0,-1,0,0,10,10,28,35.33168730000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.176245300041046,35.33168730000034,35.33168730000034,35.33168730000034,35.42678999999771,left,0.09387600002810359,None,,,,,,,,,,,,,,495135,001,2025-07-07_11h32.12.369,untitled,2023.2.3,59.6603891844342,2025-07-07 11h32.20.152645 +0200,
pngs\63.png,pngs\64.png,0,1,1,0,1,0,0,-1,-1,0,-1,0,0,11,11,31,35.5907982000499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.427139100036584,35.5907982000499,35.5907982000499,35.5907982000499,35.742232500051614,right,0.14703340001869947,None,,,,,,,,,,,,,,495135,001,2025-07-07_11h32.12.369,untitled,2023.2.3,59.6603891844342,2025-07-07 11h32.20.152645 +0200,
pngs\7.png,pngs\8.png,0,1,1,0,1,0,0,-1,-1,0,-1,0,0,12,12,3,35.90092830004869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.74256080004852,35.90092830004869,35.90092830004869,35.90092830004869,36.12549290002789,right,0.21313370001735166,None,,,,,,,,,,,,,,495135,001,2025-07-07_11h32.12.369,untitled,2023.2.3,59.6603891844342,2025-07-07 11h32.20.152645 +0200,
pngs\65.png,pngs\66.png,0,-1,1,0,1,-1,0,1,-1,0,-1,1,0,13,13,32,36.29037740000058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.125840299995616,36.29037740000058,36.29037740000058,36.29037740000058,36.442366900038905,left,0.15102990000741556,None,,,,,,,,,,,,,,495135,001,2025-07-07_11h32.12.369,untitled,2023.2.3,59.6603891844342,2025-07-07 11h32.20.152645 +0200,
pngs\29.png,pngs\30.png,-1,1,1,0,-1,0,1,-1,-1,0,1,0,0,14,14,14,36.59969310002634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.442695200035814,36.59969310002634,36.59969310002634,36.59969310002634,37.02464489999693,left,0.4183119999943301,None,,,,,,,,,,,,,,495135,001,2025-07-07_11h32.12.369,untitled,2023.2.3,59.6603891844342,2025-07-07 11h32.20.152645 +0200,
pngs\61.png,pngs\62.png,0,1,1,0,-1,0,0,-1,-1,0,1,0,0,15,15,30,37.1789517000434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.02500730002066,37.1789517000434,37.1789517000434,37.1789517000434,37.52531060000183,left,0.3435537999612279,None,,,,,,,,,,,,,,495135,001,2025-07-07_11h32.12.369,untitled,2023.2.3,59.6603891844342,2025-07-07 11h32.20.152645 +0200,
pngs\41.png,pngs\42.png,0,-1,1,-1,1,0,0,1,-1,1,-1,0,0,16,16,20,37.663470400031656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.52568150003208,37.663470400031656,37.663470400031656,37.663470400031656,37.941476200008765,right,0.2661388000124134,None,,,,,,,,,,,,,,495135,001,2025-07-07_11h32.12.369,untitled,2023.2.3,59.6603891844342,2025-07-07 11h32.20.152645 +0200,
pngs\9.png,pngs\10.png,0,-1,1,0,1,0,0,1,-1,0,-1,0,0,17,17,4,38.096930900006555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.94184420001693,38.096930900006555,38.096930900006555,38.096930900006555,38.32726079999702,right,0.22444399999221787,None,,,,,,,,,,,,,,495135,001,2025-07-07_11h32.12.369,untitled,2023.2.3,59.6603891844342,2025-07-07 11h32.20.152645 +0200,
pngs\13.png,pngs\14.png,0,1,1,0,-1,0,0,-1,-1,0,1,0,0,18,18,6,38.48265540000284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.32820430002175,38.48265540000284,38.48265540000284,38.48265540000284,38.70853560004616,left,0.21649969997815788,None,,,,,,,,,,,,,,495135,001,2025-07-07_11h32.12.369,untitled,2023.2.3,59.6603891844342,2025-07-07 11h32.20.152645 +0200,
pngs\15.png,pngs\16.png,0,1,1,0,1,0,0,-1,-1,0,-1,0,0,19,19,7,38.88055670005269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.70886579999933,38.88055670005269,38.88055670005269,38.88055670005269,39.05696110002464,left,0.16255419998196885,None,,,,,,,,,,,,,,495135,001,2025-07-07_11h32.12.369,untitled,2023.2.3,59.6603891844342,2025-07-07 11h32.20.152645 +0200,
