imagen1,imagen2,hm1,cp1,ai1,pa1,vr1,cl1,hm2,cp2,ai2,pa2,vr2,cl2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Portada.started,image_11.started,text_19.started,Portada.stopped,Instruccions.started,text_8.started,key_resp_3.started,Instruccions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instructions_2.started,image_3.started,image_4.started,key_resp_4.started,text_9.started,text_10.started,instructions_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,instructions_3.started,text_11.started,text_12.started,text_13.started,text_14.started,text_15.started,text_16.started,text_17.started,image_5.started,key_resp_5.started,text_18.started,image_6.started,image_7.started,image_8.started,image_9.started,image_10.started,instructions_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trial.started,image.started,image_2.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,results.started,text.started,text_2.started,text_3.started,text_4.started,text_5.started,text_6.started,text_7.started,key_resp_2.started,results.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
pngs\5.png,pngs\6.png,0,1,1,0,-1,0,0,-1,-1,0,1,0,0,8,8,2,12.813346799986903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.660260799981188,12.813346799986903,12.813346799986903,12.813346799986903,12.895161400025245,right,0.0799177999724634,None,,,,,,,,,,,,,,621718,001,2025-07-07_14h12.59.350,tarea_coche_autonomo,2023.2.3,59.95203836702832,2025-07-07 14h13.06.067397 +0200,
pngs\49.png,pngs\50.png,0,-1,1,1,1,0,0,1,-1,-1,-1,0,0,9,9,24,13.136729800025932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.895884900004603,13.136729800025932,13.136729800025932,13.136729800025932,13.29317830002401,left,0.14078140002675354,None,,,,,,,,,,,,,,621718,001,2025-07-07_14h12.59.350,tarea_coche_autonomo,2023.2.3,59.95203836702832,2025-07-07 14h13.06.067397 +0200,
pngs\69.png,pngs\70.png,0,1,1,0,-1,1,0,-1,-1,0,1,-1,0,10,10,34,13.441859100013971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.293575400020927,13.441859100013971,13.441859100013971,13.441859100013971,13.50867210002616,left,0.059716899995692074,None,,,,,,,,,,,,,,621718,001,2025-07-07_14h12.59.350,tarea_coche_autonomo,2023.2.3,59.95203836702832,2025-07-07 14h13.06.067397 +0200,
pngs\31.png,pngs\32.png,-1,1,1,0,1,0,1,-1,-1,0,-1,0,0,11,11,15,13.65562969999155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.50907410000218,13.65562969999155,13.65562969999155,13.65562969999155,13.740570000023581,left,0.0720444000326097,None,,,,,,,,,,,,,,621718,001,2025-07-07_14h12.59.350,tarea_coche_autonomo,2023.2.3,59.95203836702832,2025-07-07 14h13.06.067397 +0200,
pngs\33.png,pngs\34.png,0,-1,1,0,1,0,0,1,-1,0,-1,0,0,12,12,16,13.887010900012683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.740931499982253,13.887010900012683,13.887010900012683,13.887010900012683,13.957556499983184,left,0.05476559995440766,None,,,,,,,,,,,,,,621718,001,2025-07-07_14h12.59.350,tarea_coche_autonomo,2023.2.3,59.95203836702832,2025-07-07 14h13.06.067397 +0200,
pngs\59.png,pngs\60.png,0,-1,1,0,-1,0,0,1,-1,0,1,0,0,13,13,29,14.106490599981043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.957938399980776,14.106490599981043,14.106490599981043,14.106490599981043,14.207680299994536,left,0.09130279999226332,None,,,,,,,,,,,,,,621718,001,2025-07-07_14h12.59.350,tarea_coche_autonomo,2023.2.3,59.95203836702832,2025-07-07 14h13.06.067397 +0200,
pngs\73.png,pngs\74.png,0,-1,1,0,1,1,0,1,-1,0,-1,-1,0,14,14,36,14.35713110002689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.208198000036646,14.35713110002689,14.35713110002689,14.35713110002689,14.474431500013452,left,0.11181169998599216,None,,,,,,,,,,,,,,621718,001,2025-07-07_14h12.59.350,tarea_coche_autonomo,2023.2.3,59.95203836702832,2025-07-07 14h13.06.067397 +0200,
pngs\23.png,pngs\24.png,1,1,1,0,1,0,-1,-1,-1,0,-1,0,0,15,15,11,14.622613099985756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.474810699990485,14.622613099985756,14.622613099985756,14.622613099985756,14.723817599995527,left,0.0956187000265345,None,,,,,,,,,,,,,,621718,001,2025-07-07_14h12.59.350,tarea_coche_autonomo,2023.2.3,59.95203836702832,2025-07-07 14h13.06.067397 +0200,
pngs\45.png,pngs\46.png,0,1,1,1,-1,0,0,-1,-1,-1,1,0,0,16,16,22,14.870534099987708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.724187900021207,14.870534099987708,14.870534099987708,14.870534099987708,14.94022109999787,right,0.06384440005058423,None,,,,,,,,,,,,,,621718,001,2025-07-07_14h12.59.350,tarea_coche_autonomo,2023.2.3,59.95203836702832,2025-07-07 14h13.06.067397 +0200,
pngs\65.png,pngs\66.png,0,-1,1,0,1,-1,0,1,-1,0,-1,1,0,17,17,32,15.074596400023438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.940595799998846,15.074596400023438,15.074596400023438,15.074596400023438,15.123445599980187,right,0.04394900001352653,None,,,,,,,,,,,,,,621718,001,2025-07-07_14h12.59.350,tarea_coche_autonomo,2023.2.3,59.95203836702832,2025-07-07 14h13.06.067397 +0200,
pngs\77.png,pngs\78.png,0,1,1,0,-1,-1,0,-1,-1,0,1,1,0,18,18,38,15.276456899999175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.123786000011023,15.276456899999175,15.276456899999175,15.276456899999175,15.28997340000933,right,0.0019944000523537397,None,,,,,,,,,,,,,,621718,001,2025-07-07_14h12.59.350,tarea_coche_autonomo,2023.2.3,59.95203836702832,2025-07-07 14h13.06.067397 +0200,
pngs\15.png,pngs\16.png,0,1,1,0,1,0,0,-1,-1,0,-1,0,0,19,19,7,15.446353300008923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.290335100027733,15.446353300008923,15.446353300008923,15.446353300008923,15.489709899993613,right,0.031873000029008836,None,,,,,,,,,,,,,,621718,001,2025-07-07_14h12.59.350,tarea_coche_autonomo,2023.2.3,59.95203836702832,2025-07-07 14h13.06.067397 +0200,
pngs\51.png,pngs\52.png,0,-1,1,1,-1,0,0,1,-1,-1,1,0,0,20,20,25,15.633820899995044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.490130799997132,15.633820899995044,15.633820899995044,15.633820899995044,15.67271090002032,right,0.027681500010658056,None,,,,,,,,,,,,,,621718,001,2025-07-07_14h12.59.350,tarea_coche_autonomo,2023.2.3,59.95203836702832,2025-07-07 14h13.06.067397 +0200,
pngs\67.png,pngs\68.png,0,-1,1,0,-1,-1,0,1,-1,0,1,1,0,21,21,33,15.811439500015695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.673054000013508,15.811439500015695,15.811439500015695,15.811439500015695,15.856460399983916,right,0.034158899972680956,None,,,,,,,,,,,,,,621718,001,2025-07-07_14h12.59.350,tarea_coche_autonomo,2023.2.3,59.95203836702832,2025-07-07 14h13.06.067397 +0200,
pngs\13.png,pngs\14.png,0,1,1,0,-1,0,0,-1,-1,0,1,0,0,22,22,6,16.005160800006706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.85681409999961,16.005160800006706,16.005160800006706,16.005160800006706,16.04044569999678,right,0.024038099974859506,None,,,,,,,,,,,,,,621718,001,2025-07-07_14h12.59.350,tarea_coche_autonomo,2023.2.3,59.95203836702832,2025-07-07 14h13.06.067397 +0200,
pngs\71.png,pngs\72.png,0,1,1,0,1,1,0,-1,-1,0,-1,-1,0,23,23,35,16.18734589999076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.04078290000325,16.18734589999076,16.18734589999076,16.18734589999076,16.22248930000933,right,0.027050300035625696,None,,,,,,,,,,,,,,621718,001,2025-07-07_14h12.59.350,tarea_coche_autonomo,2023.2.3,59.95203836702832,2025-07-07 14h13.06.067397 +0200,
pngs\55.png,pngs\56.png,0,1,1,-1,1,0,0,-1,-1,1,-1,0,0,24,24,27,16.361371600010898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.222820700029843,16.361371600010898,16.361371600010898,16.361371600010898,16.406560999981593,right,0.04392030002782121,None,,,,,,,,,,,,,,621718,001,2025-07-07_14h12.59.350,tarea_coche_autonomo,2023.2.3,59.95203836702832,2025-07-07 14h13.06.067397 +0200,
pngs\57.png,pngs\58.png,0,-1,1,0,1,0,0,1,-1,0,-1,0,0,25,25,28,16.557098100020085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.40687100001378,16.557098100020085,16.557098100020085,16.557098100020085,16.607006400008686,right,0.04062149999663234,None,,,,,,,,,,,,,,621718,001,2025-07-07_14h12.59.350,tarea_coche_autonomo,2023.2.3,59.95203836702832,2025-07-07 14h13.06.067397 +0200,
pngs\3.png,pngs\4.png,0,-1,1,0,-1,0,0,1,-1,0,1,0,0,26,26,1,16.76645140000619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.607513300026767,16.76645140000619,16.76645140000619,16.76645140000619,16.80598750000354,right,0.03188439999939874,None,,,,,,,,,,,,,,621718,001,2025-07-07_14h12.59.350,tarea_coche_autonomo,2023.2.3,59.95203836702832,2025-07-07 14h13.06.067397 +0200,
pngs\75.png,pngs\76.png,0,-1,1,0,-1,1,0,1,-1,0,1,-1,0,27,27,37,16.952702299982775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.80634910002118,16.952702299982775,16.952702299982775,16.952702299982775,17.023251899983734,right,0.053459900023881346,None,,,,,,,,,,,,,,621718,001,2025-07-07_14h12.59.350,tarea_coche_autonomo,2023.2.3,59.95203836702832,2025-07-07 14h13.06.067397 +0200,
pngs\11.png,pngs\12.png,0,-1,1,0,-1,0,0,1,-1,0,1,0,0,28,28,5,17.165004000009503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.02367150003556,17.165004000009503,17.165004000009503,17.165004000009503,17.22220550000202,right,0.04009810002753511,None,,,,,,,,,,,,,,621718,001,2025-07-07_14h12.59.350,tarea_coche_autonomo,2023.2.3,59.95203836702832,2025-07-07 14h13.06.067397 +0200,
