imagen1,imagen2,hm1,cp1,ai1,pa1,vr1,cl1,hm2,cp2,ai2,pa2,vr2,cl2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Portada.started,text_19.started,image_11.started,Portada.stopped,Instruccions.started,text_8.started,key_resp_3.started,Instruccions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instructions_2.started,image_3.started,image_4.started,key_resp_4.started,text_9.started,text_10.started,instructions_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,instructions_3.started,text_11.started,text_12.started,text_13.started,text_14.started,text_15.started,text_16.started,text_17.started,image_5.started,key_resp_5.started,text_18.started,image_6.started,image_7.started,image_8.started,image_9.started,image_10.started,instructions_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trial.started,image.started,image_2.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,results.started,text.started,text_2.started,text_3.started,text_4.started,text_5.started,text_6.started,text_7.started,key_resp_2.started,results.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
pngs\17.png,pngs\18.png,-1,-1,1,0,1,0,1,1,-1,0,-1,0,0,8,8,8,14.141769699985161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.996674399997573,14.141769699985161,14.141769699985161,14.141769699985161,14.163197499990929,left,0.011278700025286525,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\23.png,pngs\24.png,1,1,1,0,1,0,-1,-1,-1,0,-1,0,0,9,9,11,14.313405499968212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.16355959995417,14.313405499968212,14.313405499968212,14.313405499968212,14.345938599959482,right,0.02419329999247566,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\53.png,pngs\54.png,0,1,1,-1,-1,0,0,-1,-1,1,1,0,0,10,10,26,14.491408500005491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.346312299952842,14.491408500005491,14.491408500005491,14.491408500005491,14.69626860000426,left,0.19074800005182624,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\19.png,pngs\20.png,-1,-1,1,0,-1,0,1,1,-1,0,1,0,0,11,11,9,14.8424054000061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.696585799974855,14.8424054000061,14.8424054000061,14.8424054000061,14.996016599994618,right,0.1456445999792777,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\71.png,pngs\72.png,0,1,1,0,1,1,0,-1,-1,0,-1,-1,0,12,12,35,15.133843799994793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.996382099983748,15.133843799994793,15.133843799994793,15.133843799994793,15.179643899959046,right,0.04398050002055243,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\59.png,pngs\60.png,0,-1,1,0,-1,0,0,1,-1,0,1,0,0,13,13,29,15.315994399948977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.179974199971184,15.315994399948977,15.315994399948977,15.315994399948977,15.362028899951838,right,0.02932969998801127,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\55.png,pngs\56.png,0,1,1,-1,1,0,0,-1,-1,1,-1,0,0,14,14,27,15.501204299973324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.362410899950191,15.501204299973324,15.501204299973324,15.501204299973324,15.67916909995256,right,0.16538920003222302,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\11.png,pngs\12.png,0,-1,1,0,-1,0,0,1,-1,0,1,0,0,15,15,5,15.81397439999273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.679526299994905,15.81397439999273,15.81397439999273,15.81397439999273,15.862437099975068,right,0.03570120001677424,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\45.png,pngs\46.png,0,1,1,1,-1,0,0,-1,-1,-1,1,0,0,16,16,22,16.007927600003313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.862793399952352,16.007927600003313,16.007927600003313,16.007927600003313,16.04586419998668,right,0.034090899978764355,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\5.png,pngs\6.png,0,1,1,0,-1,0,0,-1,-1,0,1,0,0,17,17,2,16.181327799975406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.04628289997345,16.181327799975406,16.181327799975406,16.181327799975406,16.22846999997273,right,0.043690300022717565,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\47.png,pngs\48.png,0,1,1,1,1,0,0,-1,-1,-1,-1,0,0,18,18,23,16.37416949996259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.22882999997819,16.37416949996259,16.37416949996259,16.37416949996259,16.411831499950495,right,0.03636410000035539,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\27.png,pngs\28.png,1,-1,1,0,-1,0,-1,1,-1,0,1,0,0,19,19,13,16.546497699979227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.412200999970082,16.546497699979227,16.546497699979227,16.546497699979227,16.611358599970117,right,0.05549790000077337,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\57.png,pngs\58.png,0,-1,1,0,1,0,0,1,-1,0,-1,0,0,20,20,28,16.756057899969164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.61169249995146,16.756057899969164,16.756057899969164,16.756057899969164,16.779064799949992,right,0.021835400024428964,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\21.png,pngs\22.png,1,1,1,0,-1,0,-1,-1,-1,0,1,0,0,21,21,10,16.9104102999554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.779391999996733,16.9104102999554,16.9104102999554,16.9104102999554,16.96120769996196,right,0.0426432000240311,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\37.png,pngs\38.png,0,1,1,0,-1,0,0,-1,-1,0,1,0,0,22,22,18,17.09321869997075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.96155289997114,17.09321869997075,17.09321869997075,17.09321869997075,17.161121399956755,right,0.06132219999562949,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\3.png,pngs\4.png,0,-1,1,0,-1,0,0,1,-1,0,1,0,0,23,23,1,17.302494300005492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.161447199992836,17.302494300005492,17.302494300005492,17.302494300005492,17.360920099949,right,0.051215299987234175,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\13.png,pngs\14.png,0,1,1,0,-1,0,0,-1,-1,0,1,0,0,24,24,6,17.507572999980766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.361243499966804,17.507572999980766,17.507572999980766,17.507572999980766,17.56183629995212,right,0.039768700022250414,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\65.png,pngs\66.png,0,-1,1,0,1,-1,0,1,-1,0,-1,1,0,25,25,32,17.697016899997834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.562179400003515,17.697016899997834,17.697016899997834,17.697016899997834,17.760920899978373,right,0.04886780004017055,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
