time,event
1.3299752026796341e-05,start_relax1
3.767742999829352,start_trial1
6.141838999930769,keypress_trial1
9.173051199875772,estimatedtimeclick_trial1
10.69062939984724,start_relax2
15.590672600083053,start_trial2
25.063123799860477,keypress_trial2
27.478412999771535,estimatedtimeclick_trial2
28.99593110010028,start_relax3
32.32459979970008,start_trial3
34.0571305998601,keypress_trial3
36.756296599749476,estimatedtimeclick_trial3
38.27242620009929,start_relax4
43.0065290001221,start_trial4
47.349080599844456,keypress_trial4
49.91414640005678,estimatedtimeclick_trial4
51.43061409983784,start_relax5
54.725551600102335,start_trial5
58.1091267997399,keypress_trial5
60.57416100008413,estimatedtimeclick_trial5
62.09082329971716,start_relax6
66.48510990012437,start_trial6
73.44890630012378,keypress_trial6
76.46540750004351,estimatedtimeclick_trial6
77.98130779992789,start_relax7
82.7137779998593,start_trial7
88.37267739977688,keypress_trial7
90.92235280014575,estimatedtimeclick_trial7
92.43765969993547,start_relax8
96.67467600014061,start_trial8
99.23324229987338,keypress_trial8
101.89785389974713,estimatedtimeclick_trial8
103.41564180003479,start_relax9
106.57198829995468,start_trial9
113.6069068997167,keypress_trial9
115.72273309994489,estimatedtimeclick_trial9
117.23923659976572,start_relax10
120.85717179998755,start_trial10
