time,event
6.0996972024440765e-06,start_relax1
3.0696112997829914,start_trial1
8.397021899931133,keypress_trial1
12.927481799852103,estimatedtimeclick_trial1
14.445502299815416,start_relax2
20.327117799781263,start_trial2
27.251740799751133,keypress_trial2
30.91632939968258,estimatedtimeclick_trial2
32.4333325996995,start_relax3
37.56426499970257,start_trial3
47.672533199656755,keypress_trial3
50.03733929991722,estimatedtimeclick_trial3
51.55459619965404,start_relax4
56.527704999782145,start_trial4
63.61235159961507,keypress_trial4
65.6488045998849,estimatedtimeclick_trial4
67.16139669995755,start_relax5
71.18147439975291,start_trial5
78.45278249960393,keypress_trial5
80.49628819990903,estimatedtimeclick_trial5
82.00472869956866,start_relax6
87.28732469957322,start_trial6
98.722984299995,keypress_trial6
100.85617889976129,estimatedtimeclick_trial6
102.37207319959998,start_relax7
107.22146569984034,start_trial7
110.94890909967944,keypress_trial7
113.36393349990249,estimatedtimeclick_trial7
114.88055659970269,start_relax8
120.1327138999477,start_trial8
128.87077119993046,keypress_trial8
132.4682986997068,estimatedtimeclick_trial8
133.98529939958826,start_relax9
137.32448069984093,start_trial9
145.1938704997301,keypress_trial9
147.2443132000044,estimatedtimeclick_trial9
148.76054469961673,start_relax10
154.32579899998382,start_trial10
