0.0800,8388607
0.0802,8388607
0.0807,8190955
0.0810,8388607
0.0811,-1554223
0.0813,-8388608
0.0814,-6633084
0.0816,7749816
0.0819,8388607
0.0821,-655557
0.0824,-8388608
0.0829,-6953989
0.0831,7257141
0.0834,8388607
0.0838,404428
0.0839,-8388608
0.0842,-7242695
0.0848,6647233
0.0850,8388607
0.0853,1611859
0.0857,-8388608
0.0860,-7559918
0.0863,5939940
0.0868,8388607
0.0870,2765684
0.0872,-8388608
0.0875,-7824001
0.0880,5163352
0.0904,8388607
0.0905,4058516
0.0908,-8388608
0.0909,-8156279
0.0911,4411676
0.0913,8388607
0.0913,5211150
0.0915,-8388608
0.0918,-8388608
0.0919,3707875
0.0920,8388607
0.0922,6660511
0.0924,-8388608
0.0926,-8388608
0.0929,3013983
0.0931,8388607
0.0933,7708879
0.0936,-8388608
0.0938,-8388608
0.0940,2355485
0.0944,8388607
0.0947,8388607
0.0950,-8388608
0.0953,-8388608
0.0955,1749016
0.0958,8388607
0.0960,8388607
0.0962,-8388608
0.0965,-8388608
0.0967,1097647
0.0970,8388607
0.0972,8388607
0.0974,-8388608
0.0977,-8388608
0.0979,371391
0.0982,8388607
0.0985,8388607
0.0989,-8388608
0.0992,-8388608
0.0995,-306865
0.0999,8388607
0.1002,8388607
0.1004,-8388608
0.1017,-8388608
0.1018,-1089975
0.1021,8388607
0.1023,8388607
0.1025,-8388608
0.1032,-8388608
0.1034,-1819069
0.1036,8388607
0.1038,8388607
0.1039,-8388608
0.1041,-8388608
0.1042,-2561300
0.1045,8388607
0.1051,8388607
0.1054,-8388608
0.1059,-8388608
0.1061,-3152326
0.1063,8388607
0.1068,8388607
0.1081,-8388608
0.1088,-8388608
0.1090,-3737436
0.1093,8388607
0.1102,8388607
0.1103,-7839364
0.1105,-8388608
0.1107,-4261760
0.1109,8388607
0.1111,8388607
0.1112,-6809804
0.1115,-8388608
0.1116,-4724430
0.1116,8388607
0.1117,8388607
0.1121,-5706704
0.1123,-8388608
0.1129,-5204748
0.1132,8388607
0.1136,8388607
0.1137,-4853640
0.1141,-8388608
0.1143,-5520209
0.1145,8388607
0.1148,8388607
0.1151,-3691708
0.1154,-8388608
0.1156,-5834922
0.1159,8388607
0.1162,8388607
0.1163,-2682746
0.1167,-8388608
0.1170,-6084252
0.1172,8388607
0.1173,8388607
0.1177,-1604461
0.1178,-8388608
0.1196,-6427288
0.1197,8067996
0.1197,8388607
0.1201,-890053
0.1203,-8388608
0.1210,-6714036
0.1211,7633998
0.1222,8388607
0.1226,238463
0.1227,-8388608
0.1228,-7027574
0.1237,6991440
0.1238,8388607
0.1242,1354076
0.1244,-8388608
0.1246,-7309152
0.1247,6391334
0.1250,8388607
0.1261,2720313
0.1268,-8388608
0.1270,-7613302
0.1272,5559510
0.1273,8388607
0.1275,3868133
0.1277,-8388608
0.1279,-7901718
0.1280,4835131
0.1281,8388607
0.1284,5149052
0.1294,-8388608
0.1302,-8189969
0.1310,4129120
0.1316,8388607
0.1316,6311942
0.1321,-8388608
0.1321,-8388608
0.1322,3428642
0.1324,8388607
0.1327,7504327
0.1331,-8388608
0.1333,-8388608
0.1335,2737001
0.1340,8388607
0.1341,8388607
0.1344,-8388608
0.1349,-8388608
0.1352,2072862
0.1355,8388607
0.1357,8388607
0.1361,-8388608
0.1364,-8388608
0.1377,1480802
0.1381,8388607
0.1383,8388607
0.1385,-8388608
0.1388,-8388608
0.1389,889358
0.1390,8388607
0.1391,8388607
0.1392,-8388608
0.1393,-8388608
0.1394,226450
0.1395,8388607
0.1401,8388607
0.1405,-8388608
0.1409,-8388608
0.1412,-486973
0.1415,8388607
0.1416,8388607
0.1417,-8388608
0.1418,-8388608
0.1419,-1229802
0.1420,8388607
0.1420,8388607
0.1421,-8388608
0.1422,-8388608
0.1423,-1934735
0.1423,8388607
0.1424,8388607
0.1425,-8388608
0.1425,-8388608
0.1426,-2554881
0.1427,8388607
0.1428,8388607
0.1428,-8388608
0.1429,-8388608
0.1430,-3059056
0.1431,8388607
0.1431,8388607
0.1432,-8339436
0.1433,-8388608
0.1434,-3553542
0.1434,8388607
0.1435,8388607
0.1436,-7398124
0.1437,-8388608
0.1438,-4085331
0.1438,8388607
0.1439,8388607
0.1440,-6339148
0.1441,-8388608
0.1441,-4512378
0.1442,8388607
0.1443,8388607
0.1444,-5324296
0.1444,-8388608
0.1445,-4878271
0.1446,8388607
0.1447,8388607
0.1447,-4250612
0.1448,-8388608
0.1449,-5183376
0.1450,8388607
0.1450,8388607
0.1451,-3196108
0.1452,-8388608
0.1453,-5462828
0.1454,8388607
