time,event
3.7999998312443495e-05,start_relax1
3.1459882999770343,start_trial1
4.336192999966443,keypress_trial1
6.7355403999681585,estimatedtimeclick_trial1
8.252715199952945,start_relax2
11.388050299952738,start_trial2
12.114018199965358,keypress_trial2
14.397186199959833,estimatedtimeclick_trial2
15.913385699968785,start_relax3
21.377557699976023,start_trial3
24.55622519995086,keypress_trial3
26.595787699974608,estimatedtimeclick_trial3
28.104937099968083,start_relax4
32.962848099996336,start_trial4
34.18336279998766,keypress_trial4
36.49881059996551,estimatedtimeclick_trial4
38.01626329997089,start_relax5
43.40858529997058,start_trial5
45.67593069997383,keypress_trial5
47.8916479999898,estimatedtimeclick_trial5
49.40907689998858,start_relax6
54.07984649995342,start_trial6
55.30304759996943,keypress_trial6
57.34186869999394,estimatedtimeclick_trial6
58.85229659994366,start_relax7
62.50821189995622,start_trial7
65.4479020999861,keypress_trial7
67.48585369996727,estimatedtimeclick_trial7
68.99583509995136,start_relax8
74.76738169998862,start_trial8
