time,event
8.100178092718124e-06,start_relax1
4.985485900193453,start_trial1
7.7645383002236485,keypress_trial1
11.745489600114524,estimatedtimeclick_trial1
13.26171820005402,start_relax2
17.46687290025875,start_trial2
20.472849500365555,keypress_trial2
23.504483700264245,estimatedtimeclick_trial2
25.021097000222653,start_relax3
29.97057110024616,start_trial3
33.26526960032061,keypress_trial3
35.99757200013846,estimatedtimeclick_trial3
37.51315770018846,start_relax4
40.86983360024169,start_trial4
43.391809300053865,keypress_trial4
49.8708833004348,estimatedtimeclick_trial4
51.38835580041632,start_relax5
57.05160830030218,start_trial5
58.93183770030737,keypress_trial5
61.03039960004389,estimatedtimeclick_trial5
62.54786080028862,start_relax6
68.53264450002462,start_trial6
71.6902082003653,keypress_trial6
74.55529860034585,estimatedtimeclick_trial6
76.07250370038673,start_relax7
80.48917200043797,start_trial7
81.90049420017749,keypress_trial7
84.41662190016359,estimatedtimeclick_trial7
85.93283160030842,start_relax8
90.05092970002443,start_trial8
92.11088640009984,keypress_trial8
94.84225310012698,estimatedtimeclick_trial8
96.3600235003978,start_relax9
99.69986250018701,start_trial9
102.42074920004234,keypress_trial9
104.75286940019578,estimatedtimeclick_trial9
106.26944190030918,start_relax10
111.7918411004357,start_trial10
112.69767370028421,keypress_trial10
115.11414130032063,estimatedtimeclick_trial10
116.63027040008456,start_relax11
122.25454710004851,start_trial11
125.45712170004845,keypress_trial11
127.65483390027657,estimatedtimeclick_trial11
129.1741653000936,start_relax12
134.64049010025337,start_trial12
137.74878350039944,keypress_trial12
141.01341160014272,estimatedtimeclick_trial12
142.5298063000664,start_relax13
146.56083790026605,start_trial13
149.1250994000584,keypress_trial13
151.17200590018183,estimatedtimeclick_trial13
152.69178710039705,start_relax14
156.84060720028356,start_trial14
159.41877390025184,keypress_trial14
162.0526568000205,estimatedtimeclick_trial14
163.56668130028993,start_relax15
167.31731580011547,start_trial15
169.69513170002028,keypress_trial15
171.9603464002721,estimatedtimeclick_trial15
173.47820690041408,start_relax16
176.91652640001848,start_trial16
179.6553825000301,keypress_trial16
187.53413090016693,estimatedtimeclick_trial16
189.05141730001196,start_relax17
193.13077060040087,start_trial17
195.89542020019144,keypress_trial17
198.3774236002937,estimatedtimeclick_trial17
199.89410320017487,start_relax18
203.25523270014673,start_trial18
206.05531360022724,keypress_trial18
208.80393310030922,estimatedtimeclick_trial18
210.3233063002117,start_relax19
215.25361740030348,start_trial19
217.96432880032808,keypress_trial19
220.00567100010812,estimatedtimeclick_trial19
221.5167229003273,start_relax20
226.28719120007008,start_trial20
228.9907074002549,keypress_trial20
231.22334580030292,estimatedtimeclick_trial20
232.7415341003798,start_relax21
238.66727600013837,start_trial21
241.2837269003503,keypress_trial21
243.74880510009825,estimatedtimeclick_trial21
245.2655374002643,start_relax22
250.86112420028076,start_trial22
253.40886310022324,keypress_trial22
255.70750340027735,estimatedtimeclick_trial22
257.22469890024513,start_relax23
261.09002430038527,start_trial23
263.7026413003914,keypress_trial23
266.03390970034525,estimatedtimeclick_trial23
267.55178720038384,start_relax24
271.80691130040213,start_trial24
274.3455189000815,keypress_trial24
276.627299700398,estimatedtimeclick_trial24
278.1450631003827,start_relax25
283.61636030022055,start_trial25
286.30429600039497,keypress_trial25
288.4029826000333,estimatedtimeclick_trial25
289.9210383002646,start_relax26
294.39562690025195,start_trial26
296.9808539003134,keypress_trial26
299.24738440010697,estimatedtimeclick_trial26
300.76328400010243,start_relax27
305.0708113000728,start_trial27
307.87394950026646,keypress_trial27
310.0227962001227,estimatedtimeclick_trial27
311.540422399994,start_relax28
314.7827996001579,start_trial28
317.4513831003569,keypress_trial28
319.55109630012885,estimatedtimeclick_trial28
321.06957640033215,start_relax29
324.42514050006866,start_trial29
327.0619171001017,keypress_trial29
329.47694010008126,estimatedtimeclick_trial29
330.9951632004231,start_relax30
335.4726610002108,start_trial30
337.98835820006207,keypress_trial30
340.0277508003637,estimatedtimeclick_trial30
341.5384284001775,start_relax31
346.0479219001718,start_trial31
348.8479510000907,keypress_trial31
351.1299143000506,estimatedtimeclick_trial31
352.647045600228,start_relax32
356.62625700002536,start_trial32
371.8010000004433,keypress_trial32
373.84460870036855,estimatedtimeclick_trial32
375.3592547001317,start_relax33
378.4253946002573,start_trial33
381.42760080005974,keypress_trial33
383.659535900224,estimatedtimeclick_trial33
385.17670940002427,start_relax34
388.98745010001585,start_trial34
431.5463737002574,keypress_trial34
434.6936620003544,estimatedtimeclick_trial34
436.21088060038164,start_relax35
439.25754670007154,start_trial35
