0.1531,200073
0.1533,200073
0.1540,62321
0.1542,61193
0.1545,61851
0.1546,58746
0.1548,63354
0.1550,62429
0.1553,64154
0.1556,64482
0.1558,60182
0.1560,65957
0.1562,64533
0.1565,67143
0.1570,67178
0.1574,62949
0.1578,67374
0.1581,67179
0.1584,68676
0.1588,69309
0.1591,65253
0.1593,69887
0.1594,69188
0.1595,71740
0.1597,71953
0.1602,68651
0.1604,73295
0.1606,72628
0.1608,74014
0.1610,74481
0.1613,70744
0.1616,74695
0.1618,75255
0.1620,75149
0.1625,76380
0.1629,72683
0.1632,76742
0.1636,77314
0.1641,78453
0.1645,78934
0.1652,76603
0.1682,80062
0.1692,80564
0.1694,80704
0.1697,81492
0.1698,78095
0.1700,82219
0.1703,82615
0.1705,82829
0.1707,84072
0.1709,80552
0.1710,84180
0.1713,84376
0.1715,84852
0.1718,85900
0.1720,83022
0.1722,86435
0.1726,87750
0.1729,87237
0.1731,87727
0.1733,85014
0.1734,87957
0.1737,88951
0.1741,88336
0.1745,89717
0.1749,86935
0.1752,89919
0.1756,90611
0.1760,89946
0.1761,91571
0.1764,89274
0.1766,91611
0.1768,92621
0.1771,91291
0.1773,93079
0.1775,90968
0.1782,43562
0.1784,3575
0.1785,12331
0.1786,18287
0.1790,19633
0.1792,26405
0.1796,36802
0.1798,114288
0.1801,143023
0.1804,155491
0.1806,164696
0.1812,168801
0.1814,169149
0.1816,171770
0.1833,170382
0.1839,171151
0.1841,171888
0.1843,170932
0.1849,172838
0.1853,172126
0.1855,172216
0.1859,173620
0.1860,172794
0.1864,173384
0.1868,174560
0.1872,173290
0.1878,175181
0.1881,174288
0.1884,176269
0.1886,176028
0.1890,174231
0.1894,177451
0.1898,172754
0.1902,177277
0.1904,178086
0.1909,176774
0.1913,179197
0.1916,178313
0.1921,180663
0.1926,179555
0.1931,178136
0.1944,179675
0.1947,178231
0.1948,173707
0.1949,161538
0.1950,156845
0.1952,160044
0.1954,159817
0.1960,162468
0.1964,164645
0.1965,166033
0.1968,171191
0.1969,176262
0.1973,184006
0.1976,184774
0.1980,166235
0.1982,138810
0.1985,131478
0.1989,105371
0.1993,105194
0.1998,100400
0.2000,85824
0.2003,74407
0.2005,70971
0.2006,76195
0.2008,68144
0.2011,39456
0.2015,45935
0.2017,71710
0.2020,85351
0.2024,36694
0.2028,80856
0.2032,77618
0.2036,83713
0.2041,83784
0.2043,80814
0.2046,88397
0.2050,95271
0.2059,99059
0.2064,97234
0.2066,93625
0.2089,100843
0.2091,103666
0.2120,118590
0.2122,143603
0.2127,136137
0.2130,140520
0.2132,140600
0.2134,142473
0.2135,142749
0.2136,139426
0.2137,143604
0.2139,143262
0.2140,144385
0.2142,144411
0.2143,140770
0.2144,144609
0.2145,145035
0.2157,144798
0.2158,145661
0.2159,142366
0.2160,146569
0.2166,146618
0.2168,147654
0.2170,146822
0.2174,142738
0.2179,144027
0.2185,143031
0.2194,142658
0.2196,142720
0.2200,139284
0.2202,143368
0.2203,143867
0.2207,143899
0.2208,144172
0.2211,140391
0.2215,143423
0.2218,144434
0.2221,143419
0.2222,144945
0.2225,142162
0.2228,145345
0.2232,145401
0.2234,145650
0.2237,145589
0.2242,142248
0.2247,146057
0.2263,145859
0.2264,144933
0.2270,145771
0.2272,142739
0.2275,145492
0.2282,145609
0.2293,145090
0.2297,146327
0.2299,143702
0.2300,145633
0.2304,146315
0.2307,134562
0.2310,140113
0.2313,144911
0.2316,147891
0.2321,148644
0.2323,136265
0.2337,149294
0.2340,145843
0.2342,149110
0.2345,149824
0.2346,137405
0.2347,134838
0.2349,145424
0.2350,147173
0.2352,147861
0.2358,133327
0.2362,95445
0.2367,99115
0.2372,75923
0.2373,68675
0.2376,71627
0.2376,75906
0.2377,75886
0.2378,79366
0.2378,82190
0.2379,80892
0.2380,84331
0.2380,85014
0.2381,85283
0.2381,87974
0.2382,84539
0.2383,45293
0.2383,16515
0.2384,27043
0.2384,42585
0.2385,46232
0.2386,51744
0.2387,52433
0.2387,52365
0.2388,54630
0.2388,52704
0.2389,53734
0.2390,10006
0.2390,-78007
0.2391,-154629
0.2392,53269
0.2393,83319
0.2393,100205
0.2394,99065
0.2395,78224
0.2395,96662
0.2396,101914
0.2396,102108
0.2397,84767
0.2398,26273
0.2398,42047
0.2399,45820
0.2400,10283
0.2400,8774
0.2401,90994
0.2402,-160869
0.2402,5746
0.2403,-112826
0.2403,-67092
0.2404,-234440
0.2405,-180646
0.2406,-164087
0.2406,-81782
0.2407,-149935
0.2408,-112071
0.2409,-89976
0.2410,-112693
0.2410,-1795
0.2411,26696
0.2411,1797
0.2412,3846
0.2412,28910
0.2413,29245
0.2414,-11623
0.2414,15411
