time,event
0.00023229996440932155,start_relax1
5.597874499973841,start_trial1
6.795500599953812,keypress_trial1
8.835452099971008,estimatedtimeclick_trial1
10.344737899955362,start_relax2
15.524318399955519,start_trial2
16.406610399950296,keypress_trial2
18.689194899983704,estimatedtimeclick_trial2
20.206310399982613,start_relax3
24.816788399999496,start_trial3
27.299504399998114,keypress_trial3
29.66492719994858,estimatedtimeclick_trial3
31.183392799983267,start_relax4
35.69388479995541,start_trial4
37.46013399999356,keypress_trial4
39.742543199972715,estimatedtimeclick_trial4
41.25928209995618,start_relax5
45.00199469999643,start_trial5
47.38675829995191,keypress_trial5
49.65224389999639,estimatedtimeclick_trial5
51.16929779999191,start_relax6
56.726847099955194,start_trial6
