trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,Bienvenida.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Participant,date,expName,psychopyVersion,frameRate,
,,,,9.073310100007802,None,12.028425299969967,None,space,1.0114815999986604,12.028425299969967,None,kk,2022_Oct_12_1354,BananaMonkey,3.2.3,59.96767743404578,
0,0,0,0,,,,,,,,,kk,2022_Oct_12_1354,BananaMonkey,3.2.3,59.96767743404578,
1,0,1,0,,,,,,,,,kk,2022_Oct_12_1354,BananaMonkey,3.2.3,59.96767743404578,
2,0,2,0,,,,,,,,,kk,2022_Oct_12_1354,BananaMonkey,3.2.3,59.96767743404578,
3,0,3,0,,,,,,,,,kk,2022_Oct_12_1354,BananaMonkey,3.2.3,59.96767743404578,
4,0,4,0,,,,,,,,,kk,2022_Oct_12_1354,BananaMonkey,3.2.3,59.96767743404578,
