repeat.thisRepN,repeat.thisTrialN,repeat.thisN,repeat.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,monkey_sound.started,monkey_sound.stopped,Bienvenida.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,level_up_sound.started,level_up_sound.stopped,text.started,text.stopped,si.keys,si.rt,si.started,si.stopped,no.keys,no.started,no.stopped,no.rt,Adios.started,Adios.stopped,mean_speed,max_speed,number_trials,number_trials_correct,Participant,date,expName,psychopyVersion,frameRate,
1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
1,0,1,0,,,,,,,,,,,,,,,55.102588000008836,None,55.091971009987176,None,60.09658939996734,None,s,1.2941172000137158,60.09658939996734,None,None,60.09658939996734,None,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
2,0,2,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
2,0,2,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
2,0,2,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
2,0,2,0,,,,,,,,,,,,,,,71.59961959999055,None,71.5915306100098,None,76.5958404999692,None,s,0.6106499999877997,76.5958404999692,None,None,76.5958404999692,None,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
3,0,3,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
3,0,3,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
3,0,3,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
3,0,3,0,,,,,,,,,,,,,,,87.4142550000106,None,87.4073278099706,None,92.41193589998875,None,s,0.46669610001845285,92.41193589998875,None,None,92.41193589998875,None,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
4,0,4,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
4,0,4,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
4,0,4,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
4,0,4,0,,,,,,,,,,,,,,,103.0592064000084,None,103.05655860995758,None,108.06074370001443,None,s,0.9146717999828979,108.06074370001443,None,None,108.06074370001443,None,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
5,0,5,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
5,0,5,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
5,0,5,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
5,0,5,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
5,0,5,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
5,0,5,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
5,0,5,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
5,0,5,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
5,0,5,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
5,0,5,0,,,,,,,,,,,,,,,119.18133240001043,None,119.17270571000991,None,124.17683589999797,None,s,0.629721800039988,124.17683589999797,None,None,124.17683589999797,None,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
6,0,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
6,0,6,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
6,0,6,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
6,0,6,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
6,0,6,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
6,0,6,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
6,0,6,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
6,0,6,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
6,0,6,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
6,0,6,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
6,0,6,0,,,,,,,,,,,,,,,135.00637159997132,None,135.00497090998687,None,140.0098774000071,None,None,,140.0098774000071,None,n,140.0098774000071,None,1.4024092000327073,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.44411519996356,None,0.06625000000000007,0.08500000000000014,70,61,,,,,,
