trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,Bienvenida.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Participant,date,expName,psychopyVersion,frameRate,
,,,,12.046359899977688,None,12.973115300002974,None,space,1.3865641999873333,12.973115300002974,None,novia,2022_Oct_12_1326,BananaMonkey,3.2.3,59.966958191796266,
0,0,0,0,,,,,,,,,novia,2022_Oct_12_1326,BananaMonkey,3.2.3,59.966958191796266,
1,0,1,0,,,,,,,,,novia,2022_Oct_12_1326,BananaMonkey,3.2.3,59.966958191796266,
2,0,2,0,,,,,,,,,novia,2022_Oct_12_1326,BananaMonkey,3.2.3,59.966958191796266,
3,0,3,0,,,,,,,,,novia,2022_Oct_12_1326,BananaMonkey,3.2.3,59.966958191796266,
4,0,4,0,,,,,,,,,novia,2022_Oct_12_1326,BananaMonkey,3.2.3,59.966958191796266,
