trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,Bienvenida.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Participant,date,expName,psychopyVersion,frameRate,
,,,,18.867241300002206,None,19.838158299971838,None,space,0.3599371000309475,19.838158299971838,None,,2022_Oct_12_1329,BananaMonkey,3.2.3,59.92143101433171,
0,0,0,0,,,,,,,,,,2022_Oct_12_1329,BananaMonkey,3.2.3,59.92143101433171,
1,0,1,0,,,,,,,,,,2022_Oct_12_1329,BananaMonkey,3.2.3,59.92143101433171,
2,0,2,0,,,,,,,,,,2022_Oct_12_1329,BananaMonkey,3.2.3,59.92143101433171,
3,0,3,0,,,,,,,,,,2022_Oct_12_1329,BananaMonkey,3.2.3,59.92143101433171,
4,0,4,0,,,,,,,,,,2022_Oct_12_1329,BananaMonkey,3.2.3,59.92143101433171,
